MRNA_FROM	K27_MARKED_FROM	K27_VAL_FROM	SPECIES_TO	MRNA_TO
NCU07642T0	yes	supercont10.4	Nt	Nt|NEUTE1_135722	yes
NCU12115T0	yes	supercont10.6	Nt	Nt|NEUTE1_48634	no
NCU12115T0	yes	supercont10.6	Nt	Nt|NEUTE1_124756	no
NCU04705T0	yes	supercont10.6	Nt	Nt|NEUTE1_140365	no
NCU08259T0	yes	supercont10.3	Nt	Nt|NEUTE1_138113	yes
NCU09856T0	yes	supercont10.5	Nt	Nt|NEUTE1_143634	no
NCU09278T0	yes	supercont10.7	Nt	Nt|NEUTE1_66336	no
NCU08253T0	yes	supercont10.3	Nt	Nt|NEUTE1_101235	yes
NCU10766T0	yes	supercont10.4	Nt	Nt|NEUTE1_108198	no
NCU09280T0	yes	supercont10.7	Nt	Nt|NEUTE1_123544	no
NCU04882T0	yes	supercont10.4	Nt	Nt|NEUTE1_17654	yes
NCU06161T0	yes	supercont10.7	Nt	Nt|NEUTE1_85575	yes
NCU07632T0	yes	supercont10.4	Nt	Nt|NEUTE1_108214	yes
NCU08537T0	yes	supercont10.3	Nt	Nt|NEUTE1_101267	yes
NCU08255T0	yes	supercont10.3	Nt	Nt|NEUTE1_43066	yes
NCU08549T0	yes	supercont10.3	Nt	Nt|NEUTE1_146775	yes
NCU07597T0	yes	supercont10.4	Nt	Nt|NEUTE1_128231	no
NCU09906T0	yes	supercont10.1	Nt	Nt|NEUTE1_88708	yes
NCU07211T0	yes	supercont10.5	Nt	Nt|NEUTE1_97314	yes
NCU08187T0	yes	supercont10.7	Nt	Nt|NEUTE1_47895	no
NCU08756T0	yes	supercont10.3	Nt	Nt|NEUTE1_101331	yes
NCU05185T0	yes	supercont10.4	Nt	Nt|NEUTE1_145879	no
NCU08258T0	yes	supercont10.3	Nt	Nt|NEUTE1_101237	yes
NCU08209T0	yes	supercont10.3	Nt	Nt|NEUTE1_110462	yes
NCU08207T0	yes	supercont10.3	Nt	Nt|NEUTE1_138071	yes
NCU09587T0	yes	supercont10.7	Nt	Nt|NEUTE1_111746	yes
NCU05179T0	yes	supercont10.4	Nt	Nt|NEUTE1_109457	yes
NCU09171T0	yes	supercont10.3	Nt	Nt|NEUTE1_145942	yes
NCU04700T0	yes	supercont10.6	Nt	Nt|NEUTE1_112573	no
NCU07051T0	yes	supercont10.6	Nt	Nt|NEUTE1_148459	no
NCU05677T0	yes	supercont10.3	Nt	Nt|NEUTE1_109574	yes
NCU12080T0	yes	supercont10.7	Nt	Nt|NEUTE1_148470	no
NCU10427T0	yes	supercont10.3	Nt	Nt|NEUTE1_43041	yes
NCU05058T0	yes	supercont10.6	Nt	Nt|NEUTE1_49266	yes
NCU07602T0	yes	supercont10.4	Nt	Nt|NEUTE1_39637	yes
NCU09524T0	yes	supercont10.3	Nt	Nt|NEUTE1_61981	yes
NCU09524T0	yes	supercont10.3	Nt	Nt|NEUTE1_80666	yes
NCU05098T0	yes	supercont10.6	Nt	Nt|NEUTE1_49582	yes
NCU09901T0	yes	supercont10.1	Nt	Nt|NEUTE1_125078	yes
NCU05903T0	yes	supercont10.7	Nt	Nt|NEUTE1_148386	yes
NCU07648T0	yes	supercont10.4	Nt	Nt|NEUTE1_135729	yes
NCU07648T0	yes	supercont10.4	Nt	Nt|NEUTE1_135730	yes
NCU04695T0	yes	supercont10.6	Nt	Nt|NEUTE1_124374	no
NCU12102T0	yes	supercont10.6	Nt	Nt|NEUTE1_124609	no
NCU06901T0	yes	supercont10.7	Nt	Nt|NEUTE1_102577	yes
NCU04896T0	yes	supercont10.4	Nt	Nt|NEUTE1_40727	no
NCU07626T0	yes	supercont10.4	Nt	Nt|NEUTE1_98858	yes
NCU08189T0	yes	supercont10.3	Nt	Nt|NEUTE1_101197	no
NCU12018T0	yes	supercont10.7	Nt	Nt|NEUTE1_102780	no
NCU08107T0	yes	supercont10.1	Nt	Nt|NEUTE1_113480	yes
NCU03582T0	yes	supercont10.2	Nt	Nt|NEUTE1_139196	no
NCU08752T0	yes	supercont10.3	Nt	Nt|NEUTE1_138232	yes
NCU04894T0	yes	supercont10.4	Nt	Nt|NEUTE1_38714	yes
NCU05055T0	yes	supercont10.6	Nt	Nt|NEUTE1_141144	no
NCU07116T0	yes	supercont10.6	Nt	Nt|NEUTE1_86887	no
NCU11433T0	yes	supercont10.1	Nt	Nt|NEUTE1_113495	no
NCU05093T0	yes	supercont10.6	Nt	Nt|NEUTE1_88452	yes
NCU08234T0	yes	supercont10.3	Nt	Nt|NEUTE1_110486	yes
NCU08260T0	yes	supercont10.3	Nt	Nt|NEUTE1_110498	yes
NCU08781T0	yes	supercont10.3	Nt	Nt|NEUTE1_101299	yes
NCU07083T0	yes	supercont10.6	Nt	Nt|NEUTE1_124339	no
NCU04992T0	yes	supercont10.6	Nt	Nt|NEUTE1_48702	yes
NCU08796T0	yes	supercont10.3	Nt	Nt|NEUTE1_101283	yes
NCU08885T0	yes	supercont10.5	Nt	Nt|NEUTE1_34544	no
NCU09603T0	yes	supercont10.2	Nt	Nt|NEUTE1_147601	no
NCU08546T0	yes	supercont10.3	Nt	Nt|NEUTE1_110536	yes
NCU09187T0	yes	supercont10.3	Nt	Nt|NEUTE1_41557	yes
NCU09578T0	yes	supercont10.7	Nt	Nt|NEUTE1_139466	yes
NCU08524T0	yes	supercont10.3	Nt	Nt|NEUTE1_82881	no
NCU06160T0	yes	supercont10.7	Nt	Nt|NEUTE1_147889	yes
NCU12074T0	yes	supercont10.7	Nt	Nt|NEUTE1_124373	no
NCU05056T0	yes	supercont10.6	Nt	Nt|NEUTE1_124997	yes
NCU02864T0	yes	supercont10.1	Nt	Nt|NEUTE1_113889	no
NCU05866T0	yes	supercont10.7	Nt	Nt|NEUTE1_112445	no
NCU04880T0	yes	supercont10.4	Nt	Nt|NEUTE1_59355	no
NCU08545T0	yes	supercont10.3	Nt	Nt|NEUTE1_22188	yes
NCU07141T0	yes	supercont10.6	Nt	Nt|NEUTE1_118000	yes
NCU07082T0	yes	supercont10.6	Nt	Nt|NEUTE1_86925	no
NCU05170T0	yes	supercont10.4	Nt	Nt|NEUTE1_121692	yes
NCU08531T0	yes	supercont10.3	Nt	Nt|NEUTE1_122623	yes
NCU09589T0	yes	supercont10.7	Nt	Nt|NEUTE1_139454	yes
NCU09939T0	yes	supercont10.4	Nt	Nt|NEUTE1_109308	no
NCU09907T0	yes	supercont10.1	Nt	Nt|NEUTE1_141290	yes
NCU05896T0	yes	supercont10.7	Nt	Nt|NEUTE1_86810	no
NCU09173T0	yes	supercont10.3	Nt	Nt|NEUTE1_80756	yes
NCU05666T0	yes	supercont10.3	Nt	Nt|NEUTE1_43366	yes
NCU09651T0	yes	supercont10.4	Nt	Nt|NEUTE1_77892	no
NCU08548T0	yes	supercont10.3	Nt	Nt|NEUTE1_101261	yes
NCU04851T0	yes	supercont10.4	Nt	Nt|NEUTE1_144855	no
NCU11687T0	yes	supercont10.5	Nt	Nt|NEUTE1_116236	no
NCU09955T0	yes	supercont10.5	Nt	Nt|NEUTE1_34736	no
NCU09455T0	yes	supercont10.7	Nt	Nt|NEUTE1_47996	no
NCU11908T0	yes	supercont10.2	Nt	Nt|NEUTE1_123238	no
NCU11364T0	yes	supercont10.4	Nt	Nt|NEUTE1_120620	no
NCU11364T0	yes	supercont10.4	Nt	Nt|NEUTE1_25974	no
NCU09631T0	yes	supercont10.2	Nt	Nt|NEUTE1_84952	yes
NCU08083T0	yes	supercont10.1	Nt	Nt|NEUTE1_52860	yes
NCU08251T0	yes	supercont10.3	Nt	Nt|NEUTE1_101234	yes
NCU10537T0	yes	supercont10.6	Nt	Nt|NEUTE1_141207	yes
NCU08797T0	yes	supercont10.3	Nt	Nt|NEUTE1_101282	yes
NCU07610T0	yes	supercont10.4	Nt	Nt|NEUTE1_40597	no
NCU06888T0	yes	supercont10.7	Nt	Nt|NEUTE1_46664	no
NCU07647T0	yes	supercont10.4	Nt	Nt|NEUTE1_108229	yes
NCU07140T0	yes	supercont10.6	Nt	Nt|NEUTE1_140244	no
NCU05160T0	yes	supercont10.4	Nt	Nt|NEUTE1_116734	no
NCU09490T0	yes	supercont10.2	Nt	Nt|NEUTE1_110611	yes
NCU04879T0	yes	supercont10.4	Nt	Nt|NEUTE1_98897	yes
NCU07600T0	yes	supercont10.4	Nt	Nt|NEUTE1_37916	yes
NCU10344T0	yes	supercont10.6	Nt	Nt|NEUTE1_50205	no
NCU08085T0	yes	supercont10.1	Nt	Nt|NEUTE1_149182	yes
NCU07101T0	yes	supercont10.6	Nt	Nt|NEUTE1_49842	no
NCU05165T0	yes	supercont10.4	Nt	Nt|NEUTE1_39852	no
NCU05165T0	yes	supercont10.4	Nt	Nt|NEUTE1_116732	no
NCU04888T0	yes	supercont10.4	Nt	Nt|NEUTE1_135777	yes
NCU09664T0	yes	supercont10.4	Nt	Nt|NEUTE1_38774	no
NCU09453T0	yes	supercont10.7	Nt	Nt|NEUTE1_139294	no
NCU09636T0	yes	supercont10.4	Nt	Nt|NEUTE1_39987	yes
NCU09167T0	yes	supercont10.3	Nt	Nt|NEUTE1_145938	yes
NCU05123T0	yes	supercont10.6	Nt	Nt|NEUTE1_124965	no
NCU08523T0	yes	supercont10.3	Nt	Nt|NEUTE1_82884	yes
NCU07078T0	yes	supercont10.6	Nt	Nt|NEUTE1_86935	no
NCU04707T0	yes	supercont10.6	Nt	Nt|NEUTE1_112581	yes
NCU09957T0	yes	supercont10.5	Nt	Nt|NEUTE1_56219	no
NCU10539T0	yes	supercont10.7	Nt	Nt|NEUTE1_123573	no
NCU08081T0	yes	supercont10.1	Nt	Nt|NEUTE1_113456	yes
NCU08105T0	yes	supercont10.1	Nt	Nt|NEUTE1_51016	yes
NCU06899T0	yes	supercont10.7	Nt	Nt|NEUTE1_25790	yes
NCU04914T0	yes	supercont10.4	Nt	Nt|NEUTE1_116231	yes
NCU09274T0	yes	supercont10.7	Nt	Nt|NEUTE1_85037	no
NCU11688T0	yes	supercont10.5	Nt	Nt|NEUTE1_135818	yes
NCU05769T0	yes	supercont10.7	Nt	Nt|NEUTE1_103280	no
NCU09588T0	yes	supercont10.7	Nt	Nt|NEUTE1_46743	yes
NCU09835T0	yes	supercont10.5	Nt	Nt|NEUTE1_98658	yes
NCU05466T0	yes	supercont10.2	Nt	Nt|NEUTE1_138873	no
NCU04893T0	yes	supercont10.4	Nt	Nt|NEUTE1_38714	yes
NCU11818T0	yes	supercont10.4	Nt	Nt|NEUTE1_62564	no
NCU08769T0	yes	supercont10.3	Nt	Nt|NEUTE1_82928	no
NCU08224T0	yes	supercont10.3	Nt	Nt|NEUTE1_64124	no
NCU09956T0	yes	supercont10.5	Nt	Nt|NEUTE1_97346	no
NCU09634T0	yes	supercont10.2	Nt	Nt|NEUTE1_43879	yes
NCU08543T0	yes	supercont10.3	Nt	Nt|NEUTE1_110539	yes
NCU07219T0	yes	supercont10.5	Nt	Nt|NEUTE1_106764	yes
NCU05888T0	yes	supercont10.7	Nt	Nt|NEUTE1_47921	no
NCU08770T0	yes	supercont10.3	Nt	Nt|NEUTE1_82922	no
NCU03581T0	yes	supercont10.2	Nt	Nt|NEUTE1_45954	no
NCU05083T0	yes	supercont10.6	Nt	Nt|NEUTE1_49755	yes
NCU03472T0	yes	supercont10.2	Nt	Nt|NEUTE1_102281	no
NCU09181T0	yes	supercont10.3	Nt	Nt|NEUTE1_80763	yes
NCU07092T0	yes	supercont10.6	Nt	Nt|NEUTE1_112520	yes
NCU07641T0	yes	supercont10.4	Nt	Nt|NEUTE1_98864	yes
NCU05176T0	yes	supercont10.4	Nt	Nt|NEUTE1_109461	yes
NCU07217T0	yes	supercont10.5	Nt	Nt|NEUTE1_106762	yes
NCU05104T0	yes	supercont10.6	Nt	Nt|NEUTE1_69765	yes
NCU07601T0	yes	supercont10.4	Nt	Nt|NEUTE1_98836	yes
NCU08249T0	yes	supercont10.3	Nt	Nt|NEUTE1_64150	yes
NCU08542T0	yes	supercont10.3	Nt	Nt|NEUTE1_41123	yes
NCU09495T0	yes	supercont10.2	Nt	Nt|NEUTE1_146820	yes
NCU08208T0	yes	supercont10.3	Nt	Nt|NEUTE1_138072	yes
NCU04702T0	yes	supercont10.6	Nt	Nt|NEUTE1_140357	no
NCU04702T0	yes	supercont10.6	Nt	Nt|NEUTE1_140359	no
NCU04702T0	yes	supercont10.6	Nt	Nt|NEUTE1_140358	no
NCU09277T0	yes	supercont10.7	Nt	Nt|NEUTE1_66336	no
NCU07091T0	yes	supercont10.6	Nt	Nt|NEUTE1_86915	yes
NCU08544T0	yes	supercont10.3	Nt	Nt|NEUTE1_101263	yes
NCU09577T0	yes	supercont10.7	Nt	Nt|NEUTE1_102644	yes
NCU10836T0	yes	supercont10.4	Nt	Nt|NEUTE1_144867	no
NCU08079T0	yes	supercont10.1	Nt	Nt|NEUTE1_104430	no
NCU08221T0	yes	supercont10.3	Nt	Nt|NEUTE1_110473	yes
NCU09148T0	yes	supercont10.3	Nt	Nt|NEUTE1_109517	yes
NCU08755T0	yes	supercont10.3	Nt	Nt|NEUTE1_82952	yes
NCU05080T0	yes	supercont10.6	Nt	Nt|NEUTE1_149041	yes
NCU08534T0	yes	supercont10.3	Nt	Nt|NEUTE1_42972	yes
NCU05078T0	yes	supercont10.6	Nt	Nt|NEUTE1_88466	no
NCU11826T0	yes	supercont10.4	Nt	Nt|NEUTE1_62928	no
NCU08757T0	yes	supercont10.3	Nt	Nt|NEUTE1_110600	yes
NCU05675T0	yes	supercont10.3	Nt	Nt|NEUTE1_27223	yes
NCU05923T0	yes	supercont10.6	Nt	Nt|NEUTE1_50117	no
NCU08558T0	yes	supercont10.3	Nt	Nt|NEUTE1_110524	no
NCU11713T0	yes	supercont10.4	Nt	Nt|NEUTE1_60074	no
NCU11713T0	yes	supercont10.4	Nt	Nt|NEUTE1_10683	no
NCU09725T0	yes	supercont10.7	Nt	Nt|NEUTE1_139544	no
NCU09953T0	yes	supercont10.5	Nt	Nt|NEUTE1_106807	no
NCU04917T0	yes	supercont10.4	Nt	Nt|NEUTE1_144890	yes
NCU09584T0	yes	supercont10.7	Nt	Nt|NEUTE1_102638	yes
NCU09952T0	yes	supercont10.5	Nt	Nt|NEUTE1_37484	yes
NCU11707T0	yes	supercont10.4	Nt	Nt|NEUTE1_78590	no
NCU07212T0	yes	supercont10.5	Nt	Nt|NEUTE1_36785	yes
NCU08780T0	yes	supercont10.3	Nt	Nt|NEUTE1_138203	yes
NCU06955T0	yes	supercont10.7	Nt	Nt|NEUTE1_139452	yes
NCU05169T0	yes	supercont10.4	Nt	Nt|NEUTE1_145886	no
NCU12104T0	yes	supercont10.6	Nt	Nt|NEUTE1_131906	no
NCU05085T0	yes	supercont10.6	Nt	Nt|NEUTE1_113275	yes
NCU08915T0	yes	supercont10.5	Nt	Nt|NEUTE1_98648	yes
NCU12073T0	yes	supercont10.7	Nt	Nt|NEUTE1_103489	no
NCU07624T0	yes	supercont10.4	Nt	Nt|NEUTE1_77995	yes
NCU04916T0	yes	supercont10.4	Nt	Nt|NEUTE1_98931	yes
NCU05171T0	yes	supercont10.4	Nt	Nt|NEUTE1_137035	yes
NCU11833T0	yes	supercont10.3	Nt	Nt|NEUTE1_122164	no
NCU08199T0	yes	supercont10.3	Nt	Nt|NEUTE1_130051	no
NCU07638T0	yes	supercont10.4	Nt	Nt|NEUTE1_135717	yes
NCU07638T0	yes	supercont10.4	Nt	Nt|NEUTE1_108221	yes
NCU08642T0	yes	supercont10.1	Nt	Nt|NEUTE1_74763	no
NCU07592T0	yes	supercont10.4	Nt	Nt|NEUTE1_144828	no
NCU08103T0	yes	supercont10.1	Nt	Nt|NEUTE1_54653	yes
NCU08103T0	yes	supercont10.1	Nt	Nt|NEUTE1_141354	yes
NCU03475T0	yes	supercont10.2	Nt	Nt|NEUTE1_45663	no
NCU05900T0	yes	supercont10.7	Nt	Nt|NEUTE1_68140	no
NCU05900T0	yes	supercont10.7	Nt	Nt|NEUTE1_86821	no
NCU07106T0	yes	supercont10.6	Nt	Nt|NEUTE1_49491	yes
NCU07106T0	yes	supercont10.6	Nt	Nt|NEUTE1_50171	no
NCU05177T0	yes	supercont10.4	Nt	Nt|NEUTE1_37955	yes
NCU08223T0	yes	supercont10.3	Nt	Nt|NEUTE1_41295	yes
NCU08638T0	yes	supercont10.1	Nt	Nt|NEUTE1_51860	yes
NCU11708T0	yes	supercont10.4	Nt	Nt|NEUTE1_120887	no
NCU05102T0	yes	supercont10.6	Nt	Nt|NEUTE1_104242	yes
NCU02857T0	yes	supercont10.1	Nt	Nt|NEUTE1_52141	no
NCU05068T0	yes	supercont10.6	Nt	Nt|NEUTE1_132225	no
NCU05156T0	yes	supercont10.6	Nt	Nt|NEUTE1_132189	no
NCU09176T0	yes	supercont10.3	Nt	Nt|NEUTE1_129287	no
NCU05086T0	yes	supercont10.6	Nt	Nt|NEUTE1_48329	yes
NCU09951T0	yes	supercont10.5	Nt	Nt|NEUTE1_143631	yes
NCU05886T0	yes	supercont10.7	Nt	Nt|NEUTE1_86789	no
NCU08541T0	yes	supercont10.3	Nt	Nt|NEUTE1_43385	yes
NCU07644T0	yes	supercont10.4	Nt	Nt|NEUTE1_98866	yes
NCU09834T0	yes	supercont10.5	Nt	Nt|NEUTE1_108024	no
NCU05178T0	yes	supercont10.4	Nt	Nt|NEUTE1_21184	no
NCU08078T0	yes	supercont10.1	Nt	Nt|NEUTE1_113453	no
NCU07603T0	yes	supercont10.4	Nt	Nt|NEUTE1_98837	no
NCU11699T0	yes	supercont10.4	Nt	Nt|NEUTE1_120772	no
NCU08246T0	yes	supercont10.3	Nt	Nt|NEUTE1_41900	yes
NCU06165T0	yes	supercont10.7	Nt	Nt|NEUTE1_47328	yes
NCU09950T0	yes	supercont10.5	Nt	Nt|NEUTE1_134215	yes
NCU07640T0	yes	supercont10.4	Nt	Nt|NEUTE1_25253	yes
NCU09959T0	yes	supercont10.5	Nt	Nt|NEUTE1_74900	yes
NCU11291T0	yes	supercont10.3	Nt	Nt|NEUTE1_117179	yes
NCU02856T0	yes	supercont10.1	Nt	Nt|NEUTE1_104886	no
NCU05164T0	yes	supercont10.4	Nt	Nt|NEUTE1_116732	no
NCU09285T0	yes	supercont10.7	Nt	Nt|NEUTE1_117624	no
NCU07111T0	yes	supercont10.6	Nt	Nt|NEUTE1_112509	no
NCU07645T0	yes	supercont10.4	Nt	Nt|NEUTE1_98867	no
NCU04703T0	yes	supercont10.6	Nt	Nt|NEUTE1_48682	no
NCU04703T0	yes	supercont10.6	Nt	Nt|NEUTE1_103505	no
NCU04911T0	yes	supercont10.4	Nt	Nt|NEUTE1_98927	yes
NCU09637T0	yes	supercont10.4	Nt	Nt|NEUTE1_59173	yes
NCU07136T0	yes	supercont10.6	Nt	Nt|NEUTE1_124309	yes
NCU05909T0	yes	supercont10.6	Nt	Nt|NEUTE1_104188	no
NCU07108T0	yes	supercont10.6	Nt	Nt|NEUTE1_48737	yes
NCU07102T0	yes	supercont10.6	Nt	Nt|NEUTE1_140285	yes
NCU07095T0	yes	supercont10.6	Nt	Nt|NEUTE1_103450	yes
NCU07209T0	yes	supercont10.5	Nt	Nt|NEUTE1_97312	yes
NCU07636T0	yes	supercont10.4	Nt	Nt|NEUTE1_108219	yes
NCU08572T0	yes	supercont10.3	Nt	Nt|NEUTE1_101244	yes
NCU07109T0	yes	supercont10.6	Nt	Nt|NEUTE1_103442	yes
NCU09183T0	yes	supercont10.3	Nt	Nt|NEUTE1_145950	yes
NCU07084T0	yes	supercont10.6	Nt	Nt|NEUTE1_140304	yes
NCU06896T0	yes	supercont10.7	Nt	Nt|NEUTE1_111685	no
NCU12093T0	yes	supercont10.7	Nt	Nt|NEUTE1_148615	no
NCU07050T0	yes	supercont10.6	Nt	Nt|NEUTE1_140342	no
NCU07222T0	yes	supercont10.5	Nt	Nt|NEUTE1_74871	no
NCU04996T0	yes	supercont10.6	Nt	Nt|NEUTE1_125041	yes
NCU04926T0	yes	supercont10.4	Nt	Nt|NEUTE1_135819	yes
NCU04926T0	yes	supercont10.4	Nt	Nt|NEUTE1_37960	yes
NCU07054T0	yes	supercont10.6	Nt	Nt|NEUTE1_49586	no
NCU09164T0	yes	supercont10.3	Nt	Nt|NEUTE1_41349	yes
NCU07076T0	yes	supercont10.6	Nt	Nt|NEUTE1_103465	no
NCU05073T0	yes	supercont10.6	Nt	Nt|NEUTE1_104264	yes
NCU07124T0	yes	supercont10.6	Nt	Nt|NEUTE1_48354	no
NCU08574T0	yes	supercont10.3	Nt	Nt|NEUTE1_101242	yes
NCU10039T0	yes	supercont10.4	Nt	Nt|NEUTE1_100161	yes
NCU09621T0	yes	supercont10.2	Nt	Nt|NEUTE1_66258	no
NCU08097T0	yes	supercont10.1	Nt	Nt|NEUTE1_149191	yes
NCU05049T0	yes	supercont10.6	Nt	Nt|NEUTE1_49989	no
NCU05674T0	yes	supercont10.3	Nt	Nt|NEUTE1_137143	yes
NCU05674T0	yes	supercont10.3	Nt	Nt|NEUTE1_109570	yes
NCU05674T0	yes	supercont10.3	Nt	Nt|NEUTE1_109571	yes
NCU05908T0	yes	supercont10.6	Nt	Nt|NEUTE1_148999	no
NCU05094T0	yes	supercont10.6	Nt	Nt|NEUTE1_88449	yes
NCU05094T0	yes	supercont10.6	Nt	Nt|NEUTE1_88452	yes
NCU08106T0	yes	supercont10.1	Nt	Nt|NEUTE1_51016	yes
NCU05657T0	yes	supercont10.3	Nt	Nt|NEUTE1_43217	yes
NCU09903T0	yes	supercont10.1	Nt	Nt|NEUTE1_149152	no
NCU05920T0	yes	supercont10.6	Nt	Nt|NEUTE1_48831	no
NCU05678T0	yes	supercont10.3	Nt	Nt|NEUTE1_41467	yes
NCU09582T0	yes	supercont10.7	Nt	Nt|NEUTE1_102639	no
NCU08790T0	yes	supercont10.3	Nt	Nt|NEUTE1_101288	no
NCU06897T0	yes	supercont10.7	Nt	Nt|NEUTE1_111686	yes
NCU05159T0	yes	supercont10.6	Nt	Nt|NEUTE1_49508	no
NCU04892T0	yes	supercont10.4	Nt	Nt|NEUTE1_135779	no
NCU04892T0	yes	supercont10.4	Nt	Nt|NEUTE1_38714	yes
NCU09635T0	yes	supercont10.4	Nt	Nt|NEUTE1_77853	yes
NCU04861T0	yes	supercont10.4	Nt	Nt|NEUTE1_37836	no
NCU05899T0	yes	supercont10.7	Nt	Nt|NEUTE1_68137	no
NCU04869T0	yes	supercont10.4	Nt	Nt|NEUTE1_98890	yes
NCU04706T0	yes	supercont10.6	Nt	Nt|NEUTE1_49392	yes
NCU09491T0	yes	supercont10.2	Nt	Nt|NEUTE1_64282	yes
NCU07214T0	yes	supercont10.5	Nt	Nt|NEUTE1_36043	yes
NCU07243T0	yes	supercont10.5	Nt	Nt|NEUTE1_97336	yes
NCU09180T0	yes	supercont10.3	Nt	Nt|NEUTE1_43584	yes
NCU09494T0	yes	supercont10.2	Nt	Nt|NEUTE1_122669	yes
NCU12100T0	yes	supercont10.6	Nt	Nt|NEUTE1_148691	no
NCU08812T0	yes	supercont10.4	Nt	Nt|NEUTE1_136860	no
NCU07593T0	yes	supercont10.4	Nt	Nt|NEUTE1_77947	no
NCU08211T0	yes	supercont10.3	Nt	Nt|NEUTE1_41330	yes
NCU08096T0	yes	supercont10.1	Nt	Nt|NEUTE1_104444	yes
NCU07094T0	yes	supercont10.6	Nt	Nt|NEUTE1_86912	yes
NCU09904T0	yes	supercont10.1	Nt	Nt|NEUTE1_118376	yes
NCU09046T0	yes	supercont10.7	Nt	Nt|NEUTE1_111627	no
NCU04919T0	yes	supercont10.4	Nt	Nt|NEUTE1_135811	yes
NCU07053T0	yes	supercont10.6	Nt	Nt|NEUTE1_124368	no
NCU12114T0	yes	supercont10.6	Nt	Nt|NEUTE1_124744	no
NCU04918T0	yes	supercont10.4	Nt	Nt|NEUTE1_40119	no
NCU08753T0	yes	supercont10.3	Nt	Nt|NEUTE1_138231	yes
NCU09726T0	yes	supercont10.7	Nt	Nt|NEUTE1_47616	no
NCU08101T0	yes	supercont10.1	Nt	Nt|NEUTE1_104450	yes
NCU09988T0	yes	supercont10.7	Nt	Nt|NEUTE1_147675	no
NCU05922T0	yes	supercont10.6	Nt	Nt|NEUTE1_124933	no
NCU07595T0	yes	supercont10.4	Nt	Nt|NEUTE1_108181	no
NCU08432T0	yes	supercont10.2	Nt	Nt|NEUTE1_146894	no
