MRNA_FROM	K27_MARKED_FROM	K27_VAL_FROM	SPECIES_TO	MRNA_TO
NCU05098T0	yes	supercont10.6	Nd	Nd|NEUDI1_85571	yes
NCU09901T0	yes	supercont10.1	Nd	Nd|NEUDI1_160099	no
NCU07648T0	yes	supercont10.4	Nd	Nd|NEUDI1_129122	yes
NCU04695T0	yes	supercont10.6	Nd	Nd|NEUDI1_139328	no
NCU12102T0	yes	supercont10.6	Nd	Nd|NEUDI1_167327	no
NCU06901T0	yes	supercont10.7	Nd	Nd|NEUDI1_140575	yes
NCU04896T0	yes	supercont10.4	Nd	Nd|NEUDI1_20143	yes
NCU07626T0	yes	supercont10.4	Nd	Nd|NEUDI1_129109	yes
NCU08189T0	yes	supercont10.3	Nd	Nd|NEUDI1_58765	no
NCU12018T0	yes	supercont10.7	Nd	Nd|NEUDI1_25874	no
NCU08107T0	yes	supercont10.1	Nd	Nd|NEUDI1_107941	yes
NCU08752T0	yes	supercont10.3	Nd	Nd|NEUDI1_87086	yes
NCU05055T0	yes	supercont10.6	Nd	Nd|NEUDI1_19558	yes
NCU07116T0	yes	supercont10.6	Nd	Nd|NEUDI1_139272	no
NCU11433T0	yes	supercont10.1	Nd	Nd|NEUDI1_165366	no
NCU05093T0	yes	supercont10.6	Nd	Nd|NEUDI1_142088	yes
NCU08234T0	yes	supercont10.3	Nd	Nd|NEUDI1_59753	yes
NCU09178T0	yes	supercont10.3	Nd	Nd|NEUDI1_20489	yes
NCU09178T0	yes	supercont10.3	Nd	Nd|NEUDI1_114735	yes
NCU08260T0	yes	supercont10.3	Nd	Nd|NEUDI1_42599	yes
NCU08781T0	yes	supercont10.3	Nd	Nd|NEUDI1_20552	yes
NCU07083T0	yes	supercont10.6	Nd	Nd|NEUDI1_155763	yes
NCU04992T0	yes	supercont10.6	Nd	Nd|NEUDI1_66874	yes
NCU08796T0	yes	supercont10.3	Nd	Nd|NEUDI1_142796	yes
NCU09603T0	yes	supercont10.2	Nd	Nd|NEUDI1_143059	no
NCU08546T0	yes	supercont10.3	Nd	Nd|NEUDI1_114828	no
NCU09187T0	yes	supercont10.3	Nd	Nd|NEUDI1_142753	yes
NCU09578T0	yes	supercont10.7	Nd	Nd|NEUDI1_26109	yes
NCU08524T0	yes	supercont10.3	Nd	Nd|NEUDI1_20574	no
NCU06160T0	yes	supercont10.7	Nd	Nd|NEUDI1_140449	no
NCU12074T0	yes	supercont10.7	Nd	Nd|NEUDI1_12958	no
NCU05056T0	yes	supercont10.6	Nd	Nd|NEUDI1_113900	yes
NCU02864T0	yes	supercont10.1	Nd	Nd|NEUDI1_57580	yes
NCU05866T0	yes	supercont10.7	Nd	Nd|NEUDI1_127647	yes
NCU04880T0	yes	supercont10.4	Nd	Nd|NEUDI1_104883	no
NCU08545T0	yes	supercont10.3	Nd	Nd|NEUDI1_142832	no
NCU07141T0	yes	supercont10.6	Nd	Nd|NEUDI1_88268	yes
NCU07082T0	yes	supercont10.6	Nd	Nd|NEUDI1_167150	no
NCU05170T0	yes	supercont10.4	Nd	Nd|NEUDI1_103253	yes
NCU08531T0	yes	supercont10.3	Nd	Nd|NEUDI1_129436	no
NCU09589T0	yes	supercont10.7	Nd	Nd|NEUDI1_63222	yes
NCU09939T0	yes	supercont10.4	Nd	Nd|NEUDI1_128619	no
NCU09907T0	yes	supercont10.1	Nd	Nd|NEUDI1_20768	yes
NCU05896T0	yes	supercont10.7	Nd	Nd|NEUDI1_63908	yes
NCU09173T0	yes	supercont10.3	Nd	Nd|NEUDI1_35995	yes
NCU09173T0	yes	supercont10.3	Nd	Nd|NEUDI1_68429	yes
NCU09651T0	yes	supercont10.4	Nd	Nd|NEUDI1_129078	no
NCU08548T0	yes	supercont10.3	Nd	Nd|NEUDI1_114830	no
NCU04851T0	yes	supercont10.4	Nd	Nd|NEUDI1_20100	no
NCU11687T0	yes	supercont10.5	Nd	Nd|NEUDI1_129166	yes
NCU09955T0	yes	supercont10.5	Nd	Nd|NEUDI1_9758	yes
NCU09455T0	yes	supercont10.7	Nd	Nd|NEUDI1_140391	yes
NCU11908T0	yes	supercont10.2	Nd	Nd|NEUDI1_168913	no
NCU08247T0	yes	supercont10.3	Nd	Nd|NEUDI1_46382	yes
NCU11364T0	yes	supercont10.4	Nd	Nd|NEUDI1_158617	yes
NCU11364T0	yes	supercont10.4	Nd	Nd|NEUDI1_86386	yes
NCU08241T0	yes	supercont10.3	Nd	Nd|NEUDI1_23741	yes
NCU09631T0	yes	supercont10.2	Nd	Nd|NEUDI1_87763	yes
NCU08083T0	yes	supercont10.1	Nd	Nd|NEUDI1_20773	yes
NCU08251T0	yes	supercont10.3	Nd	Nd|NEUDI1_23731	yes
NCU10537T0	yes	supercont10.6	Nd	Nd|NEUDI1_19483	yes
NCU08797T0	yes	supercont10.3	Nd	Nd|NEUDI1_20541	yes
NCU07610T0	yes	supercont10.4	Nd	Nd|NEUDI1_104831	yes
NCU06888T0	yes	supercont10.7	Nd	Nd|NEUDI1_112340	yes
NCU07140T0	yes	supercont10.6	Nd	Nd|NEUDI1_129787	yes
NCU05160T0	yes	supercont10.4	Nd	Nd|NEUDI1_103230	yes
NCU04879T0	yes	supercont10.4	Nd	Nd|NEUDI1_20127	yes
NCU10344T0	yes	supercont10.6	Nd	Nd|NEUDI1_155788	no
NCU08085T0	yes	supercont10.1	Nd	Nd|NEUDI1_165356	yes
NCU07101T0	yes	supercont10.6	Nd	Nd|NEUDI1_97748	no
NCU05165T0	yes	supercont10.4	Nd	Nd|NEUDI1_19177	yes
NCU05165T0	yes	supercont10.4	Nd	Nd|NEUDI1_168947	yes
NCU04888T0	yes	supercont10.4	Nd	Nd|NEUDI1_20140	yes
NCU09664T0	yes	supercont10.4	Nd	Nd|NEUDI1_67733	yes
NCU09453T0	yes	supercont10.7	Nd	Nd|NEUDI1_25801	yes
NCU09636T0	yes	supercont10.4	Nd	Nd|NEUDI1_104674	yes
NCU05123T0	yes	supercont10.6	Nd	Nd|NEUDI1_103987	yes
NCU08523T0	yes	supercont10.3	Nd	Nd|NEUDI1_20573	no
NCU07078T0	yes	supercont10.6	Nd	Nd|NEUDI1_97752	no
NCU04707T0	yes	supercont10.6	Nd	Nd|NEUDI1_111060	yes
NCU09957T0	yes	supercont10.5	Nd	Nd|NEUDI1_90835	yes
NCU10539T0	yes	supercont10.7	Nd	Nd|NEUDI1_167871	no
NCU08081T0	yes	supercont10.1	Nd	Nd|NEUDI1_91034	yes
NCU08105T0	yes	supercont10.1	Nd	Nd|NEUDI1_54088	yes
NCU06899T0	yes	supercont10.7	Nd	Nd|NEUDI1_112349	yes
NCU04914T0	yes	supercont10.4	Nd	Nd|NEUDI1_158674	yes
NCU09274T0	yes	supercont10.7	Nd	Nd|NEUDI1_167804	yes
NCU11688T0	yes	supercont10.5	Nd	Nd|NEUDI1_114449	yes
NCU05769T0	yes	supercont10.7	Nd	Nd|NEUDI1_26414	no
NCU05466T0	yes	supercont10.2	Nd	Nd|NEUDI1_141693	yes
NCU11818T0	yes	supercont10.4	Nd	Nd|NEUDI1_97652	no
NCU08769T0	yes	supercont10.3	Nd	Nd|NEUDI1_68502	no
NCU08769T0	yes	supercont10.3	Nd	Nd|NEUDI1_87156	no
NCU08224T0	yes	supercont10.3	Nd	Nd|NEUDI1_45701	yes
NCU09956T0	yes	supercont10.5	Nd	Nd|NEUDI1_152962	yes
NCU09634T0	yes	supercont10.2	Nd	Nd|NEUDI1_47472	yes
NCU07103T0	yes	supercont10.6	Nd	Nd|NEUDI1_111014	no
NCU08543T0	yes	supercont10.3	Nd	Nd|NEUDI1_20584	no
NCU05888T0	yes	supercont10.7	Nd	Nd|NEUDI1_157123	no
NCU08770T0	yes	supercont10.3	Nd	Nd|NEUDI1_142819	no
NCU03581T0	yes	supercont10.2	Nd	Nd|NEUDI1_16900	yes
NCU09181T0	yes	supercont10.3	Nd	Nd|NEUDI1_114736	yes
NCU07092T0	yes	supercont10.6	Nd	Nd|NEUDI1_60496	yes
NCU05176T0	yes	supercont10.4	Nd	Nd|NEUDI1_113579	yes
NCU05104T0	yes	supercont10.6	Nd	Nd|NEUDI1_19603	yes
NCU07601T0	yes	supercont10.4	Nd	Nd|NEUDI1_114362	yes
NCU08249T0	yes	supercont10.3	Nd	Nd|NEUDI1_23734	yes
NCU08542T0	yes	supercont10.3	Nd	Nd|NEUDI1_129439	no
NCU09495T0	yes	supercont10.2	Nd	Nd|NEUDI1_106174	yes
NCU04702T0	yes	supercont10.6	Nd	Nd|NEUDI1_111057	no
NCU04702T0	yes	supercont10.6	Nd	Nd|NEUDI1_24608	no
NCU09277T0	yes	supercont10.7	Nd	Nd|NEUDI1_62607	yes
NCU07091T0	yes	supercont10.6	Nd	Nd|NEUDI1_139290	yes
NCU08544T0	yes	supercont10.3	Nd	Nd|NEUDI1_142831	no
NCU09577T0	yes	supercont10.7	Nd	Nd|NEUDI1_26110	yes
NCU10836T0	yes	supercont10.4	Nd	Nd|NEUDI1_129143	no
NCU08079T0	yes	supercont10.1	Nd	Nd|NEUDI1_136298	yes
NCU08221T0	yes	supercont10.3	Nd	Nd|NEUDI1_43853	yes
NCU07628T0	yes	supercont10.4	Nd	Nd|NEUDI1_114346	yes
NCU08755T0	yes	supercont10.3	Nd	Nd|NEUDI1_105484	yes
NCU05080T0	yes	supercont10.6	Nd	Nd|NEUDI1_66987	yes
NCU07249T0	yes	supercont10.5	Nd	Nd|NEUDI1_107807	yes
NCU05078T0	yes	supercont10.6	Nd	Nd|NEUDI1_19579	no
NCU11826T0	yes	supercont10.4	Nd	Nd|NEUDI1_110803	no
NCU08757T0	yes	supercont10.3	Nd	Nd|NEUDI1_169527	yes
NCU05923T0	yes	supercont10.6	Nd	Nd|NEUDI1_142143	yes
NCU08558T0	yes	supercont10.3	Nd	Nd|NEUDI1_20606	no
NCU11713T0	yes	supercont10.4	Nd	Nd|NEUDI1_124820	no
NCU08239T0	yes	supercont10.3	Nd	Nd|NEUDI1_12199	yes
NCU09725T0	yes	supercont10.7	Nd	Nd|NEUDI1_112157	yes
NCU09953T0	yes	supercont10.5	Nd	Nd|NEUDI1_18373	yes
NCU04917T0	yes	supercont10.4	Nd	Nd|NEUDI1_169394	yes
NCU09584T0	yes	supercont10.7	Nd	Nd|NEUDI1_14289	yes
NCU09952T0	yes	supercont10.5	Nd	Nd|NEUDI1_72499	yes
NCU11707T0	yes	supercont10.4	Nd	Nd|NEUDI1_94081	no
NCU07212T0	yes	supercont10.5	Nd	Nd|NEUDI1_52054	yes
NCU08780T0	yes	supercont10.3	Nd	Nd|NEUDI1_105523	yes
NCU06955T0	yes	supercont10.7	Nd	Nd|NEUDI1_112408	yes
NCU05169T0	yes	supercont10.4	Nd	Nd|NEUDI1_128490	yes
NCU12104T0	yes	supercont10.6	Nd	Nd|NEUDI1_24935	no
NCU12104T0	yes	supercont10.6	Nd	Nd|NEUDI1_167333	no
NCU08915T0	yes	supercont10.5	Nd	Nd|NEUDI1_17208	yes
NCU12073T0	yes	supercont10.7	Nd	Nd|NEUDI1_60432	no
NCU07624T0	yes	supercont10.4	Nd	Nd|NEUDI1_86407	yes
NCU11833T0	yes	supercont10.3	Nd	Nd|NEUDI1_155524	no
NCU08199T0	yes	supercont10.3	Nd	Nd|NEUDI1_96135	no
NCU07638T0	yes	supercont10.4	Nd	Nd|NEUDI1_16229	yes
NCU08642T0	yes	supercont10.1	Nd	Nd|NEUDI1_76146	yes
NCU08642T0	yes	supercont10.1	Nd	Nd|NEUDI1_22867	yes
NCU07592T0	yes	supercont10.4	Nd	Nd|NEUDI1_16190	yes
NCU08103T0	yes	supercont10.1	Nd	Nd|NEUDI1_107939	yes
NCU03475T0	yes	supercont10.2	Nd	Nd|NEUDI1_68282	no
NCU05900T0	yes	supercont10.7	Nd	Nd|NEUDI1_140774	yes
NCU05177T0	yes	supercont10.4	Nd	Nd|NEUDI1_113579	yes
NCU08638T0	yes	supercont10.1	Nd	Nd|NEUDI1_76153	yes
NCU11708T0	yes	supercont10.4	Nd	Nd|NEUDI1_124866	no
NCU05102T0	yes	supercont10.6	Nd	Nd|NEUDI1_19604	yes
NCU02857T0	yes	supercont10.1	Nd	Nd|NEUDI1_23047	yes
NCU05068T0	yes	supercont10.6	Nd	Nd|NEUDI1_158280	yes
NCU05156T0	yes	supercont10.6	Nd	Nd|NEUDI1_128817	yes
NCU09176T0	yes	supercont10.3	Nd	Nd|NEUDI1_169519	yes
NCU05086T0	yes	supercont10.6	Nd	Nd|NEUDI1_66718	yes
NCU05886T0	yes	supercont10.7	Nd	Nd|NEUDI1_127634	yes
NCU07644T0	yes	supercont10.4	Nd	Nd|NEUDI1_114373	yes
NCU09834T0	yes	supercont10.5	Nd	Nd|NEUDI1_135121	no
NCU08078T0	yes	supercont10.1	Nd	Nd|NEUDI1_20759	yes
NCU07603T0	yes	supercont10.4	Nd	Nd|NEUDI1_67713	yes
NCU11699T0	yes	supercont10.4	Nd	Nd|NEUDI1_75971	no
NCU08246T0	yes	supercont10.3	Nd	Nd|NEUDI1_138585	yes
NCU09950T0	yes	supercont10.5	Nd	Nd|NEUDI1_18370	yes
NCU07640T0	yes	supercont10.4	Nd	Nd|NEUDI1_67804	yes
NCU09959T0	yes	supercont10.5	Nd	Nd|NEUDI1_152964	yes
NCU02856T0	yes	supercont10.1	Nd	Nd|NEUDI1_109667	yes
NCU05164T0	yes	supercont10.4	Nd	Nd|NEUDI1_19177	yes
NCU05164T0	yes	supercont10.4	Nd	Nd|NEUDI1_168947	yes
NCU09285T0	yes	supercont10.7	Nd	Nd|NEUDI1_162582	yes
NCU07111T0	yes	supercont10.6	Nd	Nd|NEUDI1_110988	yes
NCU07645T0	yes	supercont10.4	Nd	Nd|NEUDI1_142480	yes
NCU04911T0	yes	supercont10.4	Nd	Nd|NEUDI1_142523	yes
NCU09637T0	yes	supercont10.4	Nd	Nd|NEUDI1_129064	yes
NCU07136T0	yes	supercont10.6	Nd	Nd|NEUDI1_88078	yes
NCU05909T0	yes	supercont10.6	Nd	Nd|NEUDI1_128822	yes
NCU07108T0	yes	supercont10.6	Nd	Nd|NEUDI1_155757	no
NCU07102T0	yes	supercont10.6	Nd	Nd|NEUDI1_60315	no
NCU07095T0	yes	supercont10.6	Nd	Nd|NEUDI1_59960	yes
NCU07209T0	yes	supercont10.5	Nd	Nd|NEUDI1_18420	yes
NCU08572T0	yes	supercont10.3	Nd	Nd|NEUDI1_114856	yes
NCU07109T0	yes	supercont10.6	Nd	Nd|NEUDI1_60534	yes
NCU08235T0	yes	supercont10.3	Nd	Nd|NEUDI1_23747	yes
NCU08235T0	yes	supercont10.3	Nd	Nd|NEUDI1_23746	yes
NCU08235T0	yes	supercont10.3	Nd	Nd|NEUDI1_110281	yes
NCU09183T0	yes	supercont10.3	Nd	Nd|NEUDI1_158872	yes
NCU07084T0	yes	supercont10.6	Nd	Nd|NEUDI1_59918	yes
NCU06896T0	yes	supercont10.7	Nd	Nd|NEUDI1_26030	yes
NCU12093T0	yes	supercont10.7	Nd	Nd|NEUDI1_60074	no
NCU07050T0	yes	supercont10.6	Nd	Nd|NEUDI1_24601	no
NCU07222T0	yes	supercont10.5	Nd	Nd|NEUDI1_123597	yes
NCU04996T0	yes	supercont10.6	Nd	Nd|NEUDI1_169102	yes
NCU04926T0	yes	supercont10.4	Nd	Nd|NEUDI1_142532	yes
NCU07054T0	yes	supercont10.6	Nd	Nd|NEUDI1_111044	no
NCU07076T0	yes	supercont10.6	Nd	Nd|NEUDI1_97756	no
NCU05073T0	yes	supercont10.6	Nd	Nd|NEUDI1_15799	no
NCU07124T0	yes	supercont10.6	Nd	Nd|NEUDI1_60627	yes
NCU07124T0	yes	supercont10.6	Nd	Nd|NEUDI1_110976	no
NCU08574T0	yes	supercont10.3	Nd	Nd|NEUDI1_20623	yes
NCU10039T0	yes	supercont10.4	Nd	Nd|NEUDI1_65959	yes
NCU09621T0	yes	supercont10.2	Nd	Nd|NEUDI1_87754	yes
NCU08097T0	yes	supercont10.1	Nd	Nd|NEUDI1_123676	yes
NCU05049T0	yes	supercont10.6	Nd	Nd|NEUDI1_85511	yes
NCU05674T0	yes	supercont10.3	Nd	Nd|NEUDI1_20446	yes
NCU05674T0	yes	supercont10.3	Nd	Nd|NEUDI1_20445	yes
NCU05674T0	yes	supercont10.3	Nd	Nd|NEUDI1_20447	yes
NCU05908T0	yes	supercont10.6	Nd	Nd|NEUDI1_163955	yes
NCU05094T0	yes	supercont10.6	Nd	Nd|NEUDI1_103954	yes
NCU08106T0	yes	supercont10.1	Nd	Nd|NEUDI1_54088	yes
NCU05657T0	yes	supercont10.3	Nd	Nd|NEUDI1_20458	yes
NCU09903T0	yes	supercont10.1	Nd	Nd|NEUDI1_72693	no
NCU05920T0	yes	supercont10.6	Nd	Nd|NEUDI1_19672	yes
NCU05678T0	yes	supercont10.3	Nd	Nd|NEUDI1_114694	yes
NCU09582T0	yes	supercont10.7	Nd	Nd|NEUDI1_156975	no
NCU08790T0	yes	supercont10.3	Nd	Nd|NEUDI1_20548	yes
NCU06897T0	yes	supercont10.7	Nd	Nd|NEUDI1_26031	yes
NCU05159T0	yes	supercont10.6	Nd	Nd|NEUDI1_104040	yes
NCU04892T0	yes	supercont10.4	Nd	Nd|NEUDI1_114423	yes
NCU09635T0	yes	supercont10.4	Nd	Nd|NEUDI1_104673	yes
NCU04861T0	yes	supercont10.4	Nd	Nd|NEUDI1_86478	no
NCU05899T0	yes	supercont10.7	Nd	Nd|NEUDI1_82694	yes
NCU04869T0	yes	supercont10.4	Nd	Nd|NEUDI1_67913	yes
NCU04706T0	yes	supercont10.6	Nd	Nd|NEUDI1_155793	no
NCU09491T0	yes	supercont10.2	Nd	Nd|NEUDI1_115101	yes
NCU07214T0	yes	supercont10.5	Nd	Nd|NEUDI1_18424	yes
NCU08240T0	yes	supercont10.3	Nd	Nd|NEUDI1_59353	yes
NCU09494T0	yes	supercont10.2	Nd	Nd|NEUDI1_87775	no
NCU12100T0	yes	supercont10.6	Nd	Nd|NEUDI1_24909	no
NCU07593T0	yes	supercont10.4	Nd	Nd|NEUDI1_16191	yes
NCU08211T0	yes	supercont10.3	Nd	Nd|NEUDI1_58584	yes
NCU08096T0	yes	supercont10.1	Nd	Nd|NEUDI1_53000	yes
NCU07094T0	yes	supercont10.6	Nd	Nd|NEUDI1_60352	yes
NCU09904T0	yes	supercont10.1	Nd	Nd|NEUDI1_165352	no
NCU09046T0	yes	supercont10.7	Nd	Nd|NEUDI1_127411	no
NCU07053T0	yes	supercont10.6	Nd	Nd|NEUDI1_79448	no
NCU12114T0	yes	supercont10.6	Nd	Nd|NEUDI1_80328	no
NCU08753T0	yes	supercont10.3	Nd	Nd|NEUDI1_129393	yes
NCU09726T0	yes	supercont10.7	Nd	Nd|NEUDI1_63174	yes
NCU08101T0	yes	supercont10.1	Nd	Nd|NEUDI1_20794	yes
NCU05922T0	yes	supercont10.6	Nd	Nd|NEUDI1_104050	yes
NCU08432T0	yes	supercont10.2	Nd	Nd|NEUDI1_64998	no
