MRNA_Nc	K27_Nc	MRNA_Nd	K27_Nd	MRNA_Nt	K27_Nt
Nc|NCU01038	no	Nd|NEUDI1_106819	no	Nt|NEUTE1_120106	no
Nc|NCU01039	no	Nd|NEUDI1_106818	no	Nt|NEUTE1_120105	no
Nc|NCU01041	no	Nd|NEUDI1_88543	no	Nt|NEUTE1_58041	no
Nc|NCU01042	no	Nd|NEUDI1_17304	no	Nt|NEUTE1_98186	no
Nc|NCU01043	no	NONE	NA	Nt|NEUTE1_37281	no
Nc|NCU01044	no	Nd|NEUDI1_88542	no	Nt|NEUTE1_120103	no
Nc|NCU01045	no	Nd|NEUDI1_70215	no	Nt|NEUTE1_115953	no
Nc|NCU01047	no	Nd|NEUDI1_152043	no	Nt|NEUTE1_120100	no
Nc|NCU01048	no	NONE	NA	Nt|NEUTE1_135014	no
Nc|NCU01049	no	Nd|NEUDI1_135197	no	Nt|NEUTE1_76711	no
Nc|NCU01050	no	Nd|NEUDI1_152042	no	Nt|NEUTE1_98179	no
Nc|NCU01051	no	Nd|NEUDI1_135195	no	Nt|NEUTE1_35848	no
Nc|NCU01052	no	Nd|NEUDI1_17295	no	Nt|NEUTE1_98177	no
Nc|NCU01053	no	Nd|NEUDI1_88529	no	Nt|NEUTE1_76708	no
Nc|NCU01054	no	Nd|NEUDI1_135193	no	Nt|NEUTE1_107585	no
Nc|NCU01055	no	Nd|NEUDI1_122693	no	Nt|NEUTE1_34669	no
Nc|NCU01056	no	Nd|NEUDI1_122692,NEUDI1_122693	no,no	Nt|NEUTE1_36589	no
Nc|NCU01057	no	Nd|NEUDI1_164689	no	Nt|NEUTE1_144321	no
Nc|NCU01058	no	Nd|NEUDI1_122690	no	Nt|NEUTE1_36391	no
Nc|NCU01059	no	Nd|NEUDI1_88520	no	Nt|NEUTE1_58018	no
Nc|NCU01060	no	Nd|NEUDI1_159434	no	Nt|NEUTE1_115951	no
Nc|NCU01061	no	Nd|NEUDI1_52116	no	Nt|NEUTE1_36610	no
Nc|NCU01063	no	Nd|NEUDI1_164687	no	Nt|NEUTE1_76695	no
Nc|NCU01064	no	Nd|NEUDI1_164686	no	Nt|NEUTE1_98165	no
Nc|NCU01065	no	Nd|NEUDI1_70185,NEUDI1_164686	no,no	Nt|NEUTE1_127756	no
Nc|NCU01066	no	Nd|NEUDI1_152033	no	Nt|NEUTE1_76687	no
Nc|NCU01067	no	Nd|NEUDI1_122684	no	Nt|NEUTE1_76685	no
Nc|NCU01068	no	Nd|NEUDI1_152031	no	Nt|NEUTE1_127753	no
Nc|NCU01069	no	Nd|NEUDI1_50089	no	Nt|NEUTE1_144312	no
Nc|NCU01070	no	Nd|NEUDI1_164680	no	Nt|NEUTE1_76678	no
Nc|NCU01071	no	Nd|NEUDI1_164680	no	Nt|NEUTE1_134990	no
Nc|NCU01072	no	Nd|NEUDI1_70166	no	Nt|NEUTE1_144310	no
Nc|NCU01073	no	Nd|NEUDI1_70163	no	Nt|NEUTE1_107566	no
Nc|NCU01074	no	Nd|NEUDI1_152024	no	Nt|NEUTE1_120084	no
Nc|NCU01075	no	Nd|NEUDI1_50822	no	Nt|NEUTE1_98154	no
Nc|NCU01076	no	Nd|NEUDI1_88484	no	Nt|NEUTE1_37385	no
Nc|NCU01077	no	Nd|NEUDI1_51379	no	Nt|NEUTE1_98152	no
Nc|NCU01078	no	Nd|NEUDI1_8770	no	Nt|NEUTE1_107561	no
Nc|NCU01079	no	Nd|NEUDI1_17267	no	Nt|NEUTE1_76671	no
Nc|NCU01080	no	Nd|NEUDI1_88483	no	Nt|NEUTE1_144306	no
Nc|NCU01081	no	Nd|NEUDI1_88479	no	Nt|NEUTE1_120081	no
Nc|NCU01082	no	Nd|NEUDI1_17264	no	Nt|NEUTE1_76664	no
Nc|NCU01083	no	Nd|NEUDI1_152020	no	Nt|NEUTE1_57981	no
Nc|NCU01084	no	Nd|NEUDI1_164676,NEUDI1_70151	no,no	Nt|NEUTE1_127744	no
Nc|NCU01085	no	Nd|NEUDI1_70147	no	Nt|NEUTE1_144301	no
Nc|NCU01086	no	Nd|NEUDI1_88466	no	Nt|NEUTE1_98143	no
Nc|NCU01087	no	Nd|NEUDI1_50271	no	Nt|NEUTE1_107552	no
Nc|NCU01088	no	Nd|NEUDI1_152015	no	Nt|NEUTE1_127741	no
Nc|NCU01089	no	Nd|NEUDI1_70141	no	Nt|NEUTE1_98140	no
Nc|NCU01090	no	NONE	NA	Nt|NEUTE1_134968	no
Nc|NCU01091	no	NONE	NA	Nt|NEUTE1_98139	no
Nc|NCU01092	no	Nd|NEUDI1_164673	no	Nt|NEUTE1_57970	no
Nc|NCU01093	no	Nd|NEUDI1_106776	no	Nt|NEUTE1_144296	no
Nc|NCU01094	no	Nd|NEUDI1_88460	no	Nt|NEUTE1_57965	no
Nc|NCU01095	no	Nd|NEUDI1_122668	no	Nt|NEUTE1_76640	no
Nc|NCU01096	no	NONE	NA	Nt|NEUTE1_98134	no
Nc|NCU01097	no	Nd|NEUDI1_88457	no	Nt|NEUTE1_127736	no
Nc|NCU01098	no	Nd|NEUDI1_135158	no	Nt|NEUTE1_127735	no
Nc|NCU01099	no	Nd|NEUDI1_50596	no	Nt|NEUTE1_76635	no
Nc|NCU01100	no	Nd|NEUDI1_52559	no	Nt|NEUTE1_115944	no
Nc|NCU01101	no	Nd|NEUDI1_164667	no	Nt|NEUTE1_76627	no
Nc|NCU01102	no	Nd|NEUDI1_122662	no	Nt|NEUTE1_57946	no
Nc|NCU01103	no	Nd|NEUDI1_69953	no	Nt|NEUTE1_107537	no
Nc|NCU01104	no	Nd|NEUDI1_129866	no	Nt|NEUTE1_35647	no
Nc|NCU01105	no	Nd|NEUDI1_70119	no	Nt|NEUTE1_76620	no
Nc|NCU01106	no	Nd|NEUDI1_88441	no	Nt|NEUTE1_37393	no
Nc|NCU01107	no	Nd|NEUDI1_164665	no	Nt|NEUTE1_76618	no
Nc|NCU01108	no	Nd|NEUDI1_70112	no	Nt|NEUTE1_36441	no
Nc|NCU01109	no	Nd|NEUDI1_135151	no	Nt|NEUTE1_98122	no
Nc|NCU01111	no	Nd|NEUDI1_51633	no	Nt|NEUTE1_36062	no
Nc|NCU01112	no	Nd|NEUDI1_88433	no	Nt|NEUTE1_120062	no
Nc|NCU01113	no	Nd|NEUDI1_50970	no	Nt|NEUTE1_134947	no
Nc|NCU01114	no	Nd|NEUDI1_135148	no	Nt|NEUTE1_76613	no
Nc|NCU01115	no	Nd|NEUDI1_122656	no	Nt|NEUTE1_76608	no
Nc|NCU01116	no	Nd|NEUDI1_88425	no	Nt|NEUTE1_57926	no
Nc|NCU01118	no	Nd|NEUDI1_88422	no	Nt|NEUTE1_76603	no
Nc|NCU01119	no	Nd|NEUDI1_88418	no	Nt|NEUTE1_127722	no
Nc|NCU01120	no	Nd|NEUDI1_51404	no	Nt|NEUTE1_98113	no
Nc|NCU01121	no	Nd|NEUDI1_164662	no	Nt|NEUTE1_144278	no
Nc|NCU01122	no	Nd|NEUDI1_88408,NEUDI1_88412	no,no	Nt|NEUTE1_127719,NEUTE1_76594	no,no
Nc|NCU01123	no	Nd|NEUDI1_88408	no	Nt|NEUTE1_127719	no
Nc|NCU01124	no	Nd|NEUDI1_86082	no	Nt|NEUTE1_127718	no
Nc|NCU01127	no	Nd|NEUDI1_128988,NEUDI1_104470	no,no	Nt|NEUTE1_144274	no
Nc|NCU01132	no	Nd|NEUDI1_158504	no	Nt|NEUTE1_35244	no
Nc|NCU01134	no	Nd|NEUDI1_142333	no	Nt|NEUTE1_35568	no
Nc|NCU01135	no	Nd|NEUDI1_19904,NEUDI1_19905,NEUDI1_114210	no,no,no	Nt|NEUTE1_57904	no
Nc|NCU01136	no	Nd|NEUDI1_169275	no	Nt|NEUTE1_127715	no
Nc|NCU01138	no	Nd|NEUDI1_67405	no	Nt|NEUTE1_107515	no
Nc|NCU01140	no	Nd|NEUDI1_19908	no	Nt|NEUTE1_107514	no
Nc|NCU01141	no	Nd|NEUDI1_67220	no	Nt|NEUTE1_57898	no
Nc|NCU01142	no	Nd|NEUDI1_67439	no	Nt|NEUTE1_76571,NEUTE1_120046	no,no
Nc|NCU01143	no	Nd|NEUDI1_128996	no	Nt|NEUTE1_76571	no
Nc|NCU01144	no	Nd|NEUDI1_142345	no	Nt|NEUTE1_57888	no
Nc|NCU01145	no	Nd|NEUDI1_158514	no	Nt|NEUTE1_93823	no
Nc|NCU01146	no	Nd|NEUDI1_104488	no	Nt|NEUTE1_57887	no
Nc|NCU01147	no	Nd|NEUDI1_128999	no	Nt|NEUTE1_57882	no
Nc|NCU01148	no	Nd|NEUDI1_169280	no	Nt|NEUTE1_127705,NEUTE1_120040	no,no
Nc|NCU01149	no	Nd|NEUDI1_129001,NEUDI1_169280	no,no	Nt|NEUTE1_127705	no
Nc|NCU01150	no	Nd|NEUDI1_86111	no	Nt|NEUTE1_144261	no
Nc|NCU01151	no	Nd|NEUDI1_129003	no	Nt|NEUTE1_120037	no
Nc|NCU01153	no	Nd|NEUDI1_67113	no	NONE	NA
Nc|NCU01154	no	Nd|NEUDI1_169283	no	Nt|NEUTE1_127702	no
Nc|NCU01156	no	Nd|NEUDI1_158522	no	Nt|NEUTE1_76548	no
Nc|NCU01157	no	Nd|NEUDI1_129006	no	Nt|NEUTE1_120034	no
Nc|NCU01158	no	Nd|NEUDI1_158523	no	Nt|NEUTE1_98081,NEUTE1_144256	no,no
Nc|NCU01159	no	NONE	NA	Nt|NEUTE1_98080	no
Nc|NCU01160	no	Nd|NEUDI1_169285	no	Nt|NEUTE1_57860	no
Nc|NCU01161	no	Nd|NEUDI1_104517	no	Nt|NEUTE1_127697	no
Nc|NCU01162	no	Nd|NEUDI1_104521	no	Nt|NEUTE1_57855	no
Nc|NCU01163	no	Nd|NEUDI1_104524	no	Nt|NEUTE1_107492	no
Nc|NCU01164	no	Nd|NEUDI1_104527	no	Nt|NEUTE1_144251	no
Nc|NCU01165	no	Nd|NEUDI1_86140	no	Nt|NEUTE1_76528	no
Nc|NCU01166	no	Nd|NEUDI1_169290	no	Nt|NEUTE1_120026	no
Nc|NCU01167	no	Nd|NEUDI1_169290	no	Nt|NEUTE1_120025	no
Nc|NCU01169	no	Nd|NEUDI1_169292	no	Nt|NEUTE1_144245	no
Nc|NCU01170	no	Nd|NEUDI1_86157	no	Nt|NEUTE1_57828	no
Nc|NCU01171	no	Nd|NEUDI1_86161,NEUDI1_86157	no,no	Nt|NEUTE1_127687,NEUTE1_57828	no,no
Nc|NCU01172	no	Nd|NEUDI1_19937	no	Nt|NEUTE1_57822	no
Nc|NCU01173	no	Nd|NEUDI1_19938	no	Nt|NEUTE1_36553	no
Nc|NCU01174	no	Nd|NEUDI1_129021	no	Nt|NEUTE1_120018	no
Nc|NCU01175	no	Nd|NEUDI1_104558	no	Nt|NEUTE1_115926	no
Nc|NCU01176	no	Nd|NEUDI1_129023	no	Nt|NEUTE1_127683	no
Nc|NCU01177	no	Nd|NEUDI1_86169	no	Nt|NEUTE1_57815	no
Nc|NCU01178	no	Nd|NEUDI1_152340	no	Nt|NEUTE1_57811	no
Nc|NCU01179	no	Nd|NEUDI1_70936	no	Nt|NEUTE1_57808	no
Nc|NCU01180	no	Nd|NEUDI1_152342	no	Nt|NEUTE1_127679	no
Nc|NCU01181	no	Nd|NEUDI1_89265	no	Nt|NEUTE1_127677	no
Nc|NCU01182	no	Nd|NEUDI1_152344	no	Nt|NEUTE1_98056,NEUTE1_93809	no,no
Nc|NCU01183	no	Nd|NEUDI1_17648	no	Nt|NEUTE1_76481	no
Nc|NCU01184	no	Nd|NEUDI1_152346	no	Nt|NEUTE1_76476,NEUTE1_144233	no,no
Nc|NCU01185	no	Nd|NEUDI1_152346,NEUDI1_17650	no,no	Nt|NEUTE1_76476,NEUTE1_144233	no,no
Nc|NCU01186	no	NONE	NA	NONE	NA
Nc|NCU01187	no	Nd|NEUDI1_70954	no	Nt|NEUTE1_120007	no
Nc|NCU01188	no	Nd|NEUDI1_70958	no	Nt|NEUTE1_120006	no
Nc|NCU01189	no	Nd|NEUDI1_152351	no	Nt|NEUTE1_57787	no
Nc|NCU01190	no	Nd|NEUDI1_164885	no	Nt|NEUTE1_127669	no
Nc|NCU01191	no	Nd|NEUDI1_164885,NEUDI1_152353	no,no	Nt|NEUTE1_144226,NEUTE1_127669	no,no
Nc|NCU01192	no	Nd|NEUDI1_122990	no	Nt|NEUTE1_120002	no
Nc|NCU01193	no	Nd|NEUDI1_164886	no	Nt|NEUTE1_76458	no
Nc|NCU01195	no	Nd|NEUDI1_164887	no	Nt|NEUTE1_127665	no
Nc|NCU01196	no	Nd|NEUDI1_122993	no	Nt|NEUTE1_76452	no
Nc|NCU01197	no	Nd|NEUDI1_89300	no	Nt|NEUTE1_144221	no
Nc|NCU01198	no	Nd|NEUDI1_70977	no	Nt|NEUTE1_57767	no
Nc|NCU01199	no	Nd|NEUDI1_164889	no	Nt|NEUTE1_144219	no
Nc|NCU01200	no	Nd|NEUDI1_164890	no	Nt|NEUTE1_115915	no
Nc|NCU01201	no	Nd|NEUDI1_164892	no	Nt|NEUTE1_76439	no
Nc|NCU01202	no	Nd|NEUDI1_164893	no	Nt|NEUTE1_115914	no
Nc|NCU01203	no	Nd|NEUDI1_164895	no	Nt|NEUTE1_76432	no
Nc|NCU01204	no	Nd|NEUDI1_164895	no	Nt|NEUTE1_115913,NEUTE1_76432	no,no
Nc|NCU01205	no	Nd|NEUDI1_70995	no	Nt|NEUTE1_76427	no
Nc|NCU01206	no	Nd|NEUDI1_123002	no	Nt|NEUTE1_144212	no
Nc|NCU01207	no	Nd|NEUDI1_89326	no	Nt|NEUTE1_76418,NEUTE1_115912	no,no
Nc|NCU01208	no	Nd|NEUDI1_17675	no	Nt|NEUTE1_76418	no
Nc|NCU01209	no	Nd|NEUDI1_135550	no	Nt|NEUTE1_127651	no
Nc|NCU01210	no	Nd|NEUDI1_152371	no	Nt|NEUTE1_127650	no
Nc|NCU01211	no	Nd|NEUDI1_164901	no	Nt|NEUTE1_127649	no
Nc|NCU01212	no	Nd|NEUDI1_164901	no	Nt|NEUTE1_57728	no
Nc|NCU01213	no	Nd|NEUDI1_164902	no	Nt|NEUTE1_115907	no
Nc|NCU01214	no	Nd|NEUDI1_9138	no	Nt|NEUTE1_119978	no
Nc|NCU01215	no	Nd|NEUDI1_50304	no	Nt|NEUTE1_57720	no
Nc|NCU01216	no	Nd|NEUDI1_152379	no	Nt|NEUTE1_98020,NEUTE1_98019	no,no
Nc|NCU01218	no	Nd|NEUDI1_164904,NEUDI1_164905	no,no	Nt|NEUTE1_127643	no
Nc|NCU01219	no	Nd|NEUDI1_164905	no	Nt|NEUTE1_93791	no
Nc|NCU01220	no	Nd|NEUDI1_135562	no	Nt|NEUTE1_144199	no
Nc|NCU01221	no	Nd|NEUDI1_164906	no	Nt|NEUTE1_115903	no
Nc|NCU01223	no	NONE	NA	NONE	NA
Nc|NCU01224	no	Nd|NEUDI1_164907	no	Nt|NEUTE1_115902	no
Nc|NCU01225	no	Nd|NEUDI1_71040	no	Nt|NEUTE1_57702	no
Nc|NCU01227	no	Nd|NEUDI1_123015	no	Nt|NEUTE1_57702,NEUTE1_76379	no,no
Nc|NCU01229	no	Nd|NEUDI1_123016	no	Nt|NEUTE1_76377	no
Nc|NCU01230	no	Nd|NEUDI1_89372	no	Nt|NEUTE1_127636	no
Nc|NCU01231	no	Nd|NEUDI1_89375	no	Nt|NEUTE1_57688	no
Nc|NCU01233	no	Nd|NEUDI1_164912	no	Nt|NEUTE1_76366	no
Nc|NCU01234	no	Nd|NEUDI1_49912	no	Nt|NEUTE1_107425	no
Nc|NCU01235	no	Nd|NEUDI1_123021	no	Nt|NEUTE1_144189	no
Nc|NCU01236	no	Nd|NEUDI1_89388	no	Nt|NEUTE1_76361	no
Nc|NCU01238	no	Nd|NEUDI1_123023	no	Nt|NEUTE1_127630	no
Nc|NCU01240	no	Nd|NEUDI1_52680	no	Nt|NEUTE1_57673	no
Nc|NCU01241	no	Nd|NEUDI1_152396	no	Nt|NEUTE1_57670	no
Nc|NCU01242	no	Nd|NEUDI1_152397	no	Nt|NEUTE1_119955	no
Nc|NCU01243	no	Nd|NEUDI1_89399	no	Nt|NEUTE1_57664	no
Nc|NCU01245	no	Nd|NEUDI1_164917	no	Nt|NEUTE1_57663	no
Nc|NCU01246	no	Nd|NEUDI1_123029	no	Nt|NEUTE1_144181	no
Nc|NCU01247	no	Nd|NEUDI1_89406	no	Nt|NEUTE1_144181	no
Nc|NCU01248	no	Nd|NEUDI1_107193,NEUDI1_89406	no,no	Nt|NEUTE1_119948	no
Nc|NCU01249	no	Nd|NEUDI1_164919	no	Nt|NEUTE1_127621	no
Nc|NCU01250	no	Nd|NEUDI1_89413	no	Nt|NEUTE1_57651	no
Nc|NCU01252	no	Nd|NEUDI1_89415	no	Nt|NEUTE1_57649	no
Nc|NCU01253	no	Nd|NEUDI1_123036	no	Nt|NEUTE1_76327	no
Nc|NCU01254	no	Nd|NEUDI1_71095	no	Nt|NEUTE1_144173,NEUTE1_76326	no,no
Nc|NCU01255	no	Nd|NEUDI1_89422	no	Nt|NEUTE1_144173	no
Nc|NCU01256	no	Nd|NEUDI1_152408,NEUDI1_159671	no,no	Nt|NEUTE1_119937,NEUTE1_119938	no,no
Nc|NCU01257	no	Nd|NEUDI1_107202	no	Nt|NEUTE1_76317	no
Nc|NCU01258	no	Nd|NEUDI1_164925	no	Nt|NEUTE1_115888	no
Nc|NCU01259	no	Nd|NEUDI1_89433	no	Nt|NEUTE1_76310	no
Nc|NCU01260	no	Nd|NEUDI1_123043	no	Nt|NEUTE1_144168	no
Nc|NCU01261	no	NONE	NA	Nt|NEUTE1_37150	no
Nc|NCU01262	no	Nd|NEUDI1_51844	no	Nt|NEUTE1_36127	no
Nc|NCU01266	no	Nd|NEUDI1_89437	no	Nt|NEUTE1_127609	no
Nc|NCU01267	no	Nd|NEUDI1_135598	no	Nt|NEUTE1_76302	no
Nc|NCU01268	no	Nd|NEUDI1_89443	no	Nt|NEUTE1_144164	no
Nc|NCU01269	no	Nd|NEUDI1_71120	no	Nt|NEUTE1_119929	no
Nc|NCU01270	no	Nd|NEUDI1_89448	no	Nt|NEUTE1_57614	no
Nc|NCU01271	no	Nd|NEUDI1_164932	no	Nt|NEUTE1_144161	no
Nc|NCU01272	no	Nd|NEUDI1_123051	no	Nt|NEUTE1_57607	no
Nc|NCU01273	no	Nd|NEUDI1_71132	no	Nt|NEUTE1_144159	no
Nc|NCU01274	no	Nd|NEUDI1_89458	no	Nt|NEUTE1_144158	no
Nc|NCU01275	no	Nd|NEUDI1_50646	no	Nt|NEUTE1_76281	no
Nc|NCU01276	no	Nd|NEUDI1_123055	no	Nt|NEUTE1_76279	no
Nc|NCU01277	no	Nd|NEUDI1_135609	no	Nt|NEUTE1_57596	no
Nc|NCU01278	no	Nd|NEUDI1_89472	no	Nt|NEUTE1_144153	no
Nc|NCU01279	no	Nd|NEUDI1_89476	no	Nt|NEUTE1_76264	no
Nc|NCU01281	no	Nd|NEUDI1_71154	no	Nt|NEUTE1_119917	no
Nc|NCU01282	no	Nd|NEUDI1_89481	no	Nt|NEUTE1_144150	no
Nc|NCU01283	no	Nd|NEUDI1_107227	no	Nt|NEUTE1_134797	no
Nc|NCU01284	no	Nd|NEUDI1_164946	no	Nt|NEUTE1_115877	no
Nc|NCU01285	no	Nd|NEUDI1_164946	no	Nt|NEUTE1_115877	no
Nc|NCU01288	no	Nd|NEUDI1_123066	no	Nt|NEUTE1_127589	no
Nc|NCU01289	no	Nd|NEUDI1_71168,NEUDI1_123066	no,no	Nt|NEUTE1_34675	no
Nc|NCU01290	no	Nd|NEUDI1_164949	no	Nt|NEUTE1_127587	no
Nc|NCU01291	no	Nd|NEUDI1_89498	no	Nt|NEUTE1_76240	no
Nc|NCU01292	no	Nd|NEUDI1_107235	no	Nt|NEUTE1_115875	no
Nc|NCU01294	no	Nd|NEUDI1_107237	no	Nt|NEUTE1_107373	no
Nc|NCU01296	no	Nd|NEUDI1_159699	no	Nt|NEUTE1_35385,NEUTE1_115872	no,no
Nc|NCU01297	no	Nd|NEUDI1_159699	no	Nt|NEUTE1_115872	no
Nc|NCU01298	no	Nd|NEUDI1_71188	no	Nt|NEUTE1_76222,NEUTE1_144135	no,no
Nc|NCU01299	no	Nd|NEUDI1_71188	no	Nt|NEUTE1_76217,NEUTE1_76222	no,no
Nc|NCU01300	no	Nd|NEUDI1_71192	no	Nt|NEUTE1_76217	no
Nc|NCU01301	no	Nd|NEUDI1_89520	no	Nt|NEUTE1_127575,NEUTE1_57533	no,no
Nc|NCU01302	no	Nd|NEUDI1_89520,NEUDI1_89523	no,no	Nt|NEUTE1_127575	no
Nc|NCU01303	no	Nd|NEUDI1_89526	no	Nt|NEUTE1_144130	no
Nc|NCU01304	no	Nd|NEUDI1_123081	no	Nt|NEUTE1_119892	no
Nc|NCU01305	no	Nd|NEUDI1_52232	no	Nt|NEUTE1_76205	no
Nc|NCU01306	no	Nd|NEUDI1_123083,NEUDI1_164954	no,no	Nt|NEUTE1_127570,NEUTE1_144127	no,no
Nc|NCU01307	no	Nd|NEUDI1_164954	no	Nt|NEUTE1_127570	no
Nc|NCU01308	no	Nd|NEUDI1_17769	no	Nt|NEUTE1_134772	no
Nc|NCU01309	no	Nd|NEUDI1_89537	no	Nt|NEUTE1_76201	no
Nc|NCU01310	no	Nd|NEUDI1_71216	no	Nt|NEUTE1_57515	no
Nc|NCU01311	no	Nd|NEUDI1_89542	no	Nt|NEUTE1_119886	no
Nc|NCU01312	no	Nd|NEUDI1_164957	no	Nt|NEUTE1_76192	no
Nc|NCU01313	no	NONE	NA	Nt|NEUTE1_97922	no
Nc|NCU01314	no	NONE	NA	Nt|NEUTE1_97921	no
Nc|NCU01315	no	Nd|NEUDI1_123089	no	Nt|NEUTE1_57508	no
Nc|NCU01317	no	Nd|NEUDI1_159708	no	Nt|NEUTE1_115864	no
Nc|NCU01318	no	Nd|NEUDI1_89554	no	Nt|NEUTE1_76183	no
Nc|NCU01319	no	Nd|NEUDI1_152463	no	Nt|NEUTE1_115862,NEUTE1_76182	no,no
Nc|NCU01320	no	Nd|NEUDI1_135651,NEUDI1_152463	no,no	Nt|NEUTE1_115862,NEUTE1_76182	no,no
Nc|NCU01321	no	Nd|NEUDI1_89562	no	Nt|NEUTE1_76176	no
Nc|NCU01322	no	Nd|NEUDI1_33869	no	Nt|NEUTE1_144116	no
Nc|NCU01323	no	Nd|NEUDI1_135654	no	Nt|NEUTE1_57489	no
Nc|NCU01324	no	Nd|NEUDI1_71244	no	Nt|NEUTE1_144114	no
Nc|NCU01325	no	Nd|NEUDI1_107264	no	Nt|NEUTE1_107346	no
Nc|NCU01326	no	Nd|NEUDI1_52573	no	Nt|NEUTE1_37285	no
Nc|NCU01327	no	Nd|NEUDI1_123098	no	Nt|NEUTE1_119876	no
Nc|NCU01328	no	Nd|NEUDI1_164968	no	Nt|NEUTE1_115859	no
Nc|NCU01329	no	Nd|NEUDI1_71255	no	Nt|NEUTE1_34580	no
Nc|NCU01330	no	Nd|NEUDI1_71255	no	Nt|NEUTE1_57478	no
Nc|NCU01331	no	Nd|NEUDI1_164970	no	Nt|NEUTE1_115856	no
Nc|NCU01332	no	Nd|NEUDI1_164971	no	Nt|NEUTE1_115855	no
Nc|NCU01333	no	Nd|NEUDI1_164972	no	Nt|NEUTE1_57468	no
Nc|NCU01334	no	Nd|NEUDI1_123105	no	Nt|NEUTE1_119869	no
Nc|NCU01335	no	Nd|NEUDI1_152477	no	Nt|NEUTE1_57465	no
Nc|NCU01336	no	Nd|NEUDI1_17794	no	Nt|NEUTE1_97901	no
Nc|NCU01337	no	Nd|NEUDI1_89594	no	Nt|NEUTE1_115854	no
Nc|NCU01338	no	Nd|NEUDI1_17796	no	Nt|NEUTE1_144103	no
Nc|NCU01339	no	Nd|NEUDI1_89598	no	Nt|NEUTE1_34784	no
Nc|NCU01340	no	Nd|NEUDI1_71276	no	Nt|NEUTE1_127545	no
Nc|NCU01341	no	Nd|NEUDI1_135671,NEUDI1_71276	no,no	Nt|NEUTE1_127544	no
Nc|NCU01342	no	Nd|NEUDI1_164978	no	Nt|NEUTE1_76132	no
Nc|NCU01343	no	Nd|NEUDI1_71282	no	Nt|NEUTE1_115852	no
Nc|NCU01344	no	Nd|NEUDI1_89611	no	Nt|NEUTE1_115851,NEUTE1_57445	no,no
Nc|NCU01345	no	Nd|NEUDI1_123115	no	Nt|NEUTE1_57442	no
Nc|NCU01346	no	NONE	NA	Nt|NEUTE1_35264	no
Nc|NCU01347	no	Nd|NEUDI1_152488	no	Nt|NEUTE1_144095	no
Nc|NCU01348	no	Nd|NEUDI1_89620	no	Nt|NEUTE1_57436	no
Nc|NCU01349	no	Nd|NEUDI1_123118	no	Nt|NEUTE1_57434	no
Nc|NCU01350	no	Nd|NEUDI1_107287	no	NONE	NA
Nc|NCU01351	no	Nd|NEUDI1_152491	no	Nt|NEUTE1_119856	no
Nc|NCU01353	no	Nd|NEUDI1_152492	no	Nt|NEUTE1_76114	no
Nc|NCU01355	no	Nd|NEUDI1_89628,NEUDI1_17811	no,no	Nt|NEUTE1_76111	no
Nc|NCU01356	no	Nd|NEUDI1_89628	no	Nt|NEUTE1_144089	no
Nc|NCU01357	no	Nd|NEUDI1_89630	no	Nt|NEUTE1_17079	no
Nc|NCU01358	no	Nd|NEUDI1_123126	no	Nt|NEUTE1_107315	no
Nc|NCU01360	no	Nd|NEUDI1_159729	no	Nt|NEUTE1_93733	no
Nc|NCU01361	no	Nd|NEUDI1_152498	no	Nt|NEUTE1_144087	no
Nc|NCU01362	no	Nd|NEUDI1_152499	no	Nt|NEUTE1_76104	no
Nc|NCU01364	no	Nd|NEUDI1_159731	no	Nt|NEUTE1_119845,NEUTE1_134725	no,no
Nc|NCU01365	no	Nd|NEUDI1_152501,NEUDI1_159731	no,no	Nt|NEUTE1_119845,NEUTE1_134725	no,no
Nc|NCU01366	no	Nd|NEUDI1_123133	no	Nt|NEUTE1_127526	no
Nc|NCU01367	no	Nd|NEUDI1_152502	no	Nt|NEUTE1_57410	no
Nc|NCU01368	no	Nd|NEUDI1_164985	no	Nt|NEUTE1_115844	no
Nc|NCU01369	no	Nd|NEUDI1_17826	no	Nt|NEUTE1_76089	no
Nc|NCU01370	no	Nd|NEUDI1_71338	no	Nt|NEUTE1_76086	no
Nc|NCU01371	no	Nd|NEUDI1_89669	no	Nt|NEUTE1_134718	no
Nc|NCU01373	no	Nd|NEUDI1_17830	no	Nt|NEUTE1_107303	no
Nc|NCU01374	no	Nd|NEUDI1_123139	no	Nt|NEUTE1_144078	no
Nc|NCU01375	no	Nd|NEUDI1_45917	no	Nt|NEUTE1_36164	no
Nc|NCU01376	no	Nd|NEUDI1_152508	no	Nt|NEUTE1_57400	no
Nc|NCU01377	no	Nd|NEUDI1_164988	no	Nt|NEUTE1_127519,NEUTE1_76079	no,no
Nc|NCU01378	no	Nd|NEUDI1_164988	no	Nt|NEUTE1_76079	no
Nc|NCU01379	no	Nd|NEUDI1_71353	no	Nt|NEUTE1_57391	no
Nc|NCU01380	no	Nd|NEUDI1_164991	no	Nt|NEUTE1_127516	no
Nc|NCU01381	no	NONE	NA	Nt|NEUTE1_115839	no
Nc|NCU01382	no	Nd|NEUDI1_164992,NEUDI1_123145	no,no	Nt|NEUTE1_76069	no
Nc|NCU01383	no	NONE	NA	Nt|NEUTE1_97857	no
Nc|NCU01385	no	NONE	NA	NONE	NA
Nc|NCU01386	no	Nd|NEUDI1_123146	no	Nt|NEUTE1_119830	no
Nc|NCU01387	no	Nd|NEUDI1_71363	no	Nt|NEUTE1_127512	no
