Locus	Supercontig	Start	Stop	Strand	NaN	Gene Name	Ontology Term ID	Ontology Term Name	Protein Family
NCU02090	supercont10.1	1358668	1360571	-	987.461538461538	adenine phosphoribosyltransferase	"GO:0006167	GO:0005634	GO:0006168	GO:0006167	GO:0003999	GO:0005634	GO:0005634	GO:0005737	GO:0006167	GO:0006167	GO:0005737	GO:0006168	GO:0003999	GO:0003999	GO:0005737	GO:0006168	GO:0006168	GO:0005737	GO:0006168	GO:0003999	GO:0006167	GO:0005737	GO:0005737	GO:0005634	GO:0006168	GO:0005634	GO:0003999	GO:0003999	GO:0006167	GO:0005634"	"AMP biosynthetic process	nucleus	adenine salvage	AMP biosynthetic process	adenine phosphoribosyltransferase activity	nucleus	nucleus	cytoplasm	AMP biosynthetic process	AMP biosynthetic process	cytoplasm	adenine salvage	adenine phosphoribosyltransferase activity	adenine phosphoribosyltransferase activity	cytoplasm	adenine salvage	adenine salvage	cytoplasm	adenine salvage	adenine phosphoribosyltransferase activity	AMP biosynthetic process	cytoplasm	cytoplasm	nucleus	adenine salvage	nucleus	adenine phosphoribosyltransferase activity	adenine phosphoribosyltransferase activity	AMP biosynthetic process	nucleus"	
NCU03160	supercont10.1	4755863	4757169	+	987.45	hypothetical protein			
NCU00865	supercont10.1	6919676	6921327	+	987.416666666667	oxalate decarboxylase oxdC			
NCU11451	supercont10.1	1362277	1362797	+	987.25	hypothetical protein			
NCU06694	supercont10.5	4300711	4302737	-	986.037037037037	fatty acid elongase	"GO:0005789	GO:0016192	GO:0030148	GO:0030497	GO:0005783	GO:0009922	GO:0005789	GO:0016192	GO:0016192	GO:0030497	GO:0030148	GO:0016192	GO:0030148	GO:0005789	GO:0016192	GO:0005789	GO:0005783	GO:0009922	GO:0005783	GO:0009922	GO:0016192	GO:0005789	GO:0030497	GO:0005783	GO:0030497	GO:0005783	GO:0009922	GO:0030148	GO:0030148	GO:0009922	GO:0030497	GO:0005789	GO:0016192	GO:0005789	GO:0005783	GO:0009922	GO:0030148	GO:0030497	GO:0030497	GO:0030148	GO:0009922	GO:0005783"	"endoplasmic reticulum membrane	vesicle-mediated transport	sphingolipid biosynthetic process	fatty acid elongation	endoplasmic reticulum	fatty acid elongase activity	endoplasmic reticulum membrane	vesicle-mediated transport	vesicle-mediated transport	fatty acid elongation	sphingolipid biosynthetic process	vesicle-mediated transport	sphingolipid biosynthetic process	endoplasmic reticulum membrane	vesicle-mediated transport	endoplasmic reticulum membrane	endoplasmic reticulum	fatty acid elongase activity	endoplasmic reticulum	fatty acid elongase activity	vesicle-mediated transport	endoplasmic reticulum membrane	fatty acid elongation	endoplasmic reticulum	fatty acid elongation	endoplasmic reticulum	fatty acid elongase activity	sphingolipid biosynthetic process	sphingolipid biosynthetic process	fatty acid elongase activity	fatty acid elongation	endoplasmic reticulum membrane	vesicle-mediated transport	endoplasmic reticulum membrane	endoplasmic reticulum	fatty acid elongase activity	sphingolipid biosynthetic process	fatty acid elongation	fatty acid elongation	sphingolipid biosynthetic process	fatty acid elongase activity	endoplasmic reticulum"	
NCU06077	supercont10.7	2363988	2366169	-	985.931034482759	membrane transporter			
NCU05985	supercont10.6	3191361	3194577	-	985.641025641026	glycerol-3-phosphate O-acyltransferase			
NCU03117	supercont10.1	4621879	4624087	+	985.620689655172	inosine-5'-monophosphate dehydrogenase IMD2	"GO:0005737	GO:0003938	GO:0003938	GO:0006183	GO:0006183	GO:0005737	GO:0005737	GO:0006183	GO:0006183	GO:0003938	GO:0005737	GO:0003938"	"cytoplasm	IMP dehydrogenase activity	IMP dehydrogenase activity	GTP biosynthetic process	GTP biosynthetic process	cytoplasm	cytoplasm	GTP biosynthetic process	GTP biosynthetic process	IMP dehydrogenase activity	cytoplasm	IMP dehydrogenase activity"	
NCU00025	supercont10.3	2335819	2337752	-	985.115384615385	integral membrane protein			
NCU12184	supercont10.6	4128868	4129965	+	984.444444444444	hypothetical protein			
NCU03310	supercont10.1	5271476	5272980	-	984.272727272727	prohibitin-2	"GO:0006457	GO:0045861	GO:0005743	GO:0045861	GO:0006457	GO:0005739	GO:0005743	GO:0006457	GO:0005739	GO:0005743	GO:0045861	GO:0005739	GO:0045861	GO:0006457	GO:0006457	GO:0005743	GO:0005739	GO:0045861	GO:0005743	GO:0005739"	"protein folding	negative regulation of proteolysis	mitochondrial inner membrane	negative regulation of proteolysis	protein folding	mitochondrion	mitochondrial inner membrane	protein folding	mitochondrion	mitochondrial inner membrane	negative regulation of proteolysis	mitochondrion	negative regulation of proteolysis	protein folding	protein folding	mitochondrial inner membrane	mitochondrion	negative regulation of proteolysis	mitochondrial inner membrane	mitochondrion"	
NCU02164	supercont10.1	1038528	1040752	+	984.206896551724	hypothetical protein			
NCU07742	supercont10.5	467279	469304	-	984.071428571429	poly(p)/ATP NAD kinase			
NCU11378	supercont10.4	1300367	1301435	-	983.5	caffeine-induced death protein Cid2			
NCU06697	supercont10.5	4313955	4316274	+	983.366666666667	Ser/Thr protein phosphatase			
NCU06604	supercont10.4	1775445	1779462	-	983.276595744681	hypothetical protein			
NCU03406	supercont10.2	831728	833149	+	983.095238095238	hypothetical protein			
NCU06451	supercont10.3	1454289	1455983	+	983.041666666667	hypothetical protein			
NCU04006	supercont10.6	2216887	2218521	-	982.625	hypothetical protein			
NCU07425	supercont10.1	5978899	5982789	+	982.5	hypothetical protein			
NCU02295	supercont10.7	1228479	1233126	-	982.462962962963	phosphatidylinositol-4-phosphate 5-kinase its3	"GO:0007163	GO:0007163"	"establishment or maintenance of cell polarity	establishment or maintenance of cell polarity"	
NCU06626	supercont10.4	1845214	1850280	-	982.280701754386	phosphoinositide 3-kinase regulatory subunit 4			
NCU07842	supercont10.3	1067318	1069356	+	981.592592592593	Woronin sorting complex	"GO:0005938	GO:0005777	GO:0005777	GO:0005777	GO:0005938	GO:0005938"	"cell cortex	peroxisome	peroxisome	peroxisome	cell cortex	cell cortex"	
NCU06048	supercont10.7	2271623	2272421	-	981.466666666667	40S ribosomal protein S30	"GO:0022627	GO:0006412	GO:0022627	GO:0022627	GO:0006412	GO:0006412	GO:0003735	GO:0003735	GO:0006412	GO:0022627	GO:0003735	GO:0003735"	"cytosolic small ribosomal subunit	translation	cytosolic small ribosomal subunit	cytosolic small ribosomal subunit	translation	translation	structural constituent of ribosome	structural constituent of ribosome	translation	cytosolic small ribosomal subunit	structural constituent of ribosome	structural constituent of ribosome"	
NCU03561	supercont10.2	225446	227557	-	981.392857142857	mitochondrial carrier protein	"GO:0006879	GO:0001409	GO:0001409	GO:0000002	GO:0005739	GO:0001408	GO:0005739	GO:0005739	GO:0001408	GO:0000002	GO:0000002	GO:0006879	GO:0005739	GO:0001408	GO:0006879	GO:0001409	GO:0001408	GO:0001408	GO:0001408	GO:0006879	GO:0006879	GO:0001409	GO:0001409	GO:0000002	GO:0005739	GO:0000002	GO:0000002	GO:0001409	GO:0005739	GO:0006879"	"cellular iron ion homeostasis	guanine nucleotide transmembrane transporter activity	guanine nucleotide transmembrane transporter activity	mitochondrial genome maintenance	mitochondrion	guanine nucleotide transport	mitochondrion	mitochondrion	guanine nucleotide transport	mitochondrial genome maintenance	mitochondrial genome maintenance	cellular iron ion homeostasis	mitochondrion	guanine nucleotide transport	cellular iron ion homeostasis	guanine nucleotide transmembrane transporter activity	guanine nucleotide transport	guanine nucleotide transport	guanine nucleotide transport	cellular iron ion homeostasis	cellular iron ion homeostasis	guanine nucleotide transmembrane transporter activity	guanine nucleotide transmembrane transporter activity	mitochondrial genome maintenance	mitochondrion	mitochondrial genome maintenance	mitochondrial genome maintenance	guanine nucleotide transmembrane transporter activity	mitochondrion	cellular iron ion homeostasis"	
NCU00694	supercont10.1	7525876	7528460	+	981.212121212121	hypothetical protein			
NCU05274	supercont10.4	5501864	5503563	-	981.125	eukaryotic initiation factor 5A	"GO:0006413	GO:0003743	GO:0005737	GO:0006413	GO:0005737	GO:0005515	GO:0005840	GO:0005737	GO:0006413	GO:0003743	GO:0005515	GO:0006413	GO:0006413	GO:0005737	GO:0005515	GO:0005515	GO:0003743	GO:0003743	GO:0005840	GO:0005840	GO:0003743	GO:0006413	GO:0005515	GO:0005737	GO:0005840	GO:0003743	GO:0005840	GO:0005515	GO:0005737	GO:0005840"	"translational initiation	translation initiation factor activity	cytoplasm	translational initiation	cytoplasm	protein binding	ribosome	cytoplasm	translational initiation	translation initiation factor activity	protein binding	translational initiation	translational initiation	cytoplasm	protein binding	protein binding	translation initiation factor activity	translation initiation factor activity	ribosome	ribosome	translation initiation factor activity	translational initiation	protein binding	cytoplasm	ribosome	translation initiation factor activity	ribosome	protein binding	cytoplasm	ribosome"	
NCU02357	supercont10.7	1491640	1495978	-	980.7	importin subunit beta-3			
NCU06631	supercont10.4	1870753	1873339	-	980.454545454545	exocyst complex component EXO84			
NCU05929	supercont10.6	3434636	3436054	-	980.333333333333	hypothetical protein			
NCU06711	supercont10.5	4357379	4358728	+	980.238095238095	hypothetical protein			
NCU04265	supercont10.5	5424523	5426869	-	979.966666666667	hypothetical protein	"GO:0009750	GO:0009416	GO:0009750	GO:0045014	GO:0009416	GO:0009750	GO:0009416	GO:0045014	GO:0045014	GO:0009416	GO:0045014	GO:0009750"	"response to fructose stimulus	response to light stimulus	response to fructose stimulus	negative regulation of transcription by glucose	response to light stimulus	response to fructose stimulus	response to light stimulus	negative regulation of transcription by glucose	negative regulation of transcription by glucose	response to light stimulus	negative regulation of transcription by glucose	response to fructose stimulus"	
NCU00922	supercont10.1	6718309	6719412	+	979.777777777778	hypothetical protein			
NCU11481	supercont10.1	2758091	2760438	-	979.612903225806	hypothetical protein			
NCU08940	supercont10.5	5771665	5773043	-	979.428571428571	ubiquinol-cytochrome c reductase complex protein	"GO:0005739	GO:0006122	GO:0005739	GO:0009060	GO:0009060	GO:0009060	GO:0005739	GO:0017062	GO:0005750	GO:0005750	GO:0006122	GO:0008121	GO:0008121	GO:0005750	GO:0017062	GO:0008121	GO:0009060	GO:0005739	GO:0009060	GO:0017062	GO:0008121	GO:0009060	GO:0005750	GO:0005739	GO:0006122	GO:0008121	GO:0017062	GO:0005750	GO:0005750	GO:0005750	GO:0006122	GO:0017062	GO:0008121	GO:0006122	GO:0006122	GO:0005739	GO:0017062	GO:0008121	GO:0017062	GO:0006122	GO:0005739	GO:0009060"	"mitochondrion	mitochondrial electron transport	 ubiquinol to cytochrome c	mitochondrion	aerobic respiration	aerobic respiration	aerobic respiration	mitochondrion	respiratory chain complex III assembly	mitochondrial respiratory chain complex III	mitochondrial respiratory chain complex III	mitochondrial electron transport	 ubiquinol to cytochrome c	ubiquinol-cytochrome-c reductase activity	ubiquinol-cytochrome-c reductase activity	mitochondrial respiratory chain complex III	respiratory chain complex III assembly	ubiquinol-cytochrome-c reductase activity	aerobic respiration	mitochondrion	aerobic respiration	respiratory chain complex III assembly	ubiquinol-cytochrome-c reductase activity	aerobic respiration	mitochondrial respiratory chain complex III	mitochondrion	mitochondrial electron transport	 ubiquinol to cytochrome c	ubiquinol-cytochrome-c reductase activity	respiratory chain complex III assembly	mitochondrial respiratory chain complex III	mitochondrial respiratory chain complex III	mitochondrial respiratory chain complex III	mitochondrial electron transport	 ubiquinol to cytochrome c	respiratory chain complex III assembly	ubiquinol-cytochrome-c reductase activity	mitochondrial electron transport	 ubiquinol to cytochrome c	mitochondrial electron transport	 ubiquinol to cytochrome c	mitochondrion	respiratory chain complex III assembly	ubiquinol-cytochrome-c reductase activity	respiratory chain complex III assembly	mitochondrial electron transport	 ubiquinol to cytochrome c	mitochondrion	aerobic respiration"	
NCU09245	supercont10.1	9426425	9428343	-	979.423076923077	hypothetical protein			
NCU07713	supercont10.4	2109841	2110995	-	979.333333333333	DnaJ domain-containing protein			
NCU12185	supercont10.6	4130211	4132080	+	979.24	hypothetical protein			
NCU02212	supercont10.7	939902	941210	+	979.2	hypothetical protein			
NCU05182	supercont10.4	5837767	5841587	-	979.044444444444	hypothetical protein			
NCU02475	supercont10.1	2434784	2438828	+	978.854166666667	glycine dehydrogenase	"GO:0005739	GO:0006730	GO:0005739	GO:0006730	GO:0019464	GO:0004375	GO:0004375	GO:0006730	GO:0019464	GO:0005739	GO:0019464	GO:0004375	GO:0019464	GO:0005739	GO:0006730	GO:0005739	GO:0004375	GO:0019464	GO:0004375	GO:0006730"	"mitochondrion	one-carbon metabolic process	mitochondrion	one-carbon metabolic process	glycine decarboxylation via glycine cleavage system	glycine dehydrogenase (decarboxylating) activity	glycine dehydrogenase (decarboxylating) activity	one-carbon metabolic process	glycine decarboxylation via glycine cleavage system	mitochondrion	glycine decarboxylation via glycine cleavage system	glycine dehydrogenase (decarboxylating) activity	glycine decarboxylation via glycine cleavage system	mitochondrion	one-carbon metabolic process	mitochondrion	glycine dehydrogenase (decarboxylating) activity	glycine decarboxylation via glycine cleavage system	glycine dehydrogenase (decarboxylating) activity	one-carbon metabolic process"	
NCU06339	supercont10.4	2854775	2857076	-	978.566666666667	APSES transcription factor Xbp1			
NCU09536	supercont10.5	4503070	4505946	-	978.472222222222	hypothetical protein			
NCU04277	supercont10.5	5470566	5472343	-	978.4	homoserine kinase	"GO:0009092	GO:0006566	GO:0006549	GO:0006555	GO:0009092	GO:0006566	GO:0006549	GO:0006549	GO:0009092	GO:0006566	GO:0006566	GO:0006549	GO:0004413	GO:0004413	GO:0009092	GO:0006549	GO:0006555	GO:0006555	GO:0006555	GO:0006549	GO:0004413	GO:0004413	GO:0009092	GO:0006555	GO:0006566	GO:0006566	GO:0004413	GO:0004413	GO:0009092	GO:0006555"	"homoserine metabolic process	threonine metabolic process	isoleucine metabolic process	methionine metabolic process	homoserine metabolic process	threonine metabolic process	isoleucine metabolic process	isoleucine metabolic process	homoserine metabolic process	threonine metabolic process	threonine metabolic process	isoleucine metabolic process	homoserine kinase activity	homoserine kinase activity	homoserine metabolic process	isoleucine metabolic process	methionine metabolic process	methionine metabolic process	methionine metabolic process	isoleucine metabolic process	homoserine kinase activity	homoserine kinase activity	homoserine metabolic process	methionine metabolic process	threonine metabolic process	threonine metabolic process	homoserine kinase activity	homoserine kinase activity	homoserine metabolic process	methionine metabolic process"	
NCU07064	supercont10.6	292930	294493	+	978.272727272727	L-galactonate dehydratase	"GO:0009416	GO:0009416"	"response to light stimulus	response to light stimulus"	
NCU06579	supercont10.4	1690471	1695391	-	978.178571428571	hypothetical protein			
NCU08393	supercont10.7	3138716	3141237	-	978.09375	hypothetical protein			
NCU08448	supercont10.2	3595785	3597579	+	977.76	hypothetical protein			
NCU02593	supercont10.1	2846892	2848053	-	977.526315789474	hypothetical protein			
NCU05703	supercont10.3	569539	570430	+	977.5	hypothetical protein			
NCU08305	supercont10.4	2467355	2469472	+	977.357142857143	hypothetical protein			
NCU04843	supercont10.6	1032760	1034645	+	977.269230769231	hypothetical protein			
NCU07579	supercont10.3	4285205	4288874	+	977.186046511628	hypothetical protein			
NCU01221	supercont10.5	3285362	3287295	+	977.038461538462	60S ribosomal protein L16	"GO:0003723	GO:0006412	GO:0022625	GO:0006412	GO:0003723	GO:0003735	GO:0003735	GO:0003723	GO:0022625	GO:0003735	GO:0006412	GO:0022625	GO:0003735	GO:0003723	GO:0003735	GO:0022625	GO:0006412	GO:0006412	GO:0022625	GO:0003723"	"RNA binding	translation	cytosolic large ribosomal subunit	translation	RNA binding	structural constituent of ribosome	structural constituent of ribosome	RNA binding	cytosolic large ribosomal subunit	structural constituent of ribosome	translation	cytosolic large ribosomal subunit	structural constituent of ribosome	RNA binding	structural constituent of ribosome	cytosolic large ribosomal subunit	translation	translation	cytosolic large ribosomal subunit	RNA binding"	
NCU04759	supercont10.6	700742	702771	+	977.037037037037	nuclear transport factor 2	"GO:0006913	GO:0005635	GO:0008536	GO:0005635	GO:0006606	GO:0006606	GO:0008536	GO:0008536	GO:0006606	GO:0006913	GO:0005635	GO:0005635	GO:0008536	GO:0006913	GO:0006913	GO:0005635	GO:0006606	GO:0006606	GO:0008536	GO:0006913"	"nucleocytoplasmic transport	nuclear envelope	Ran GTPase binding	nuclear envelope	protein import into nucleus	protein import into nucleus	Ran GTPase binding	Ran GTPase binding	protein import into nucleus	nucleocytoplasmic transport	nuclear envelope	nuclear envelope	Ran GTPase binding	nucleocytoplasmic transport	nucleocytoplasmic transport	nuclear envelope	protein import into nucleus	protein import into nucleus	Ran GTPase binding	nucleocytoplasmic transport"	
NCU09273	supercont10.7	4134988	4136827	+	976.846153846154	hypothetical protein			
NCU00249	supercont10.3	3169750	3172064	+	976.666666666667	hypothetical protein			
NCU06914	supercont10.7	3498603	3500590	-	976.653846153846	histidyl-tRNA synthetase	"GO:0005737	GO:0004821	GO:0005737	GO:0004821	GO:0006427	GO:0005739	GO:0006427	GO:0005737	GO:0004821	GO:0005739	GO:0005737	GO:0005739	GO:0006427	GO:0006427	GO:0005737	GO:0006427	GO:0005739	GO:0005739	GO:0004821	GO:0004821"	"cytoplasm	histidine-tRNA ligase activity	cytoplasm	histidine-tRNA ligase activity	histidyl-tRNA aminoacylation	mitochondrion	histidyl-tRNA aminoacylation	cytoplasm	histidine-tRNA ligase activity	mitochondrion	cytoplasm	mitochondrion	histidyl-tRNA aminoacylation	histidyl-tRNA aminoacylation	cytoplasm	histidyl-tRNA aminoacylation	mitochondrion	mitochondrion	histidine-tRNA ligase activity	histidine-tRNA ligase activity"	
NCU00871	supercont10.1	6905715	6906650	-	976.625	hypothetical protein			
NCU09488	supercont10.2	4439455	4442015	-	976.424242424242	SDA1 domain-containing protein			
NCU08502	supercont10.2	3435456	3437315	+	976.384615384615	40S ribosomal protein S6	"GO:0006412	GO:0005634	GO:0005634	GO:0022627	GO:0006412	GO:0003723	GO:0022627	GO:0003735	GO:0003735	GO:0003735	GO:0006412	GO:0006412	GO:0005515	GO:0022627	GO:0003735	GO:0006412	GO:0003735	GO:0005515	GO:0022627	GO:0005515	GO:0005515	GO:0003723	GO:0005634	GO:0005634	GO:0005634	GO:0003723	GO:0022627	GO:0003723	GO:0005634	GO:0003723	GO:0003723	GO:0005515	GO:0006412	GO:0003735	GO:0005515	GO:0003723	GO:0006412	GO:0022627	GO:0005634	GO:0005515	GO:0022627	GO:0003735"	"translation	nucleus	nucleus	cytosolic small ribosomal subunit	translation	RNA binding	cytosolic small ribosomal subunit	structural constituent of ribosome	structural constituent of ribosome	structural constituent of ribosome	translation	translation	protein binding	cytosolic small ribosomal subunit	structural constituent of ribosome	translation	structural constituent of ribosome	protein binding	cytosolic small ribosomal subunit	protein binding	protein binding	RNA binding	nucleus	nucleus	nucleus	RNA binding	cytosolic small ribosomal subunit	RNA binding	nucleus	RNA binding	RNA binding	protein binding	translation	structural constituent of ribosome	protein binding	RNA binding	translation	cytosolic small ribosomal subunit	nucleus	protein binding	cytosolic small ribosomal subunit	structural constituent of ribosome"	
NCU07171	supercont10.5	6358376	6360166	-	976.32	actin-6	"GO:0005524	GO:0005885	GO:0005200	GO:0005739	GO:0005885	GO:0005739	GO:0000001	GO:0005739	GO:0005739	GO:0005739	GO:0005739	GO:0007015	GO:0005885	GO:0007015	GO:0005885	GO:0003779	GO:0003779	GO:0003779	GO:0005524	GO:0005885	GO:0000001	GO:0000001	GO:0005524	GO:0005739	GO:0003779	GO:0007015	GO:0007015	GO:0003779	GO:0005524	GO:0007015	GO:0007015	GO:0000001	GO:0005524	GO:0005200	GO:0005524	GO:0003779	GO:0005200	GO:0003779	GO:0007015	GO:0000001	GO:0005885	GO:0005524	GO:0007015	GO:0005200	GO:0005524	GO:0000001	GO:0005200	GO:0005885	GO:0005200	GO:0005885	GO:0003779	GO:0000001	GO:0005739	GO:0005200	GO:0005200	GO:0000001"	"ATP binding	Arp2/3 protein complex	structural constituent of cytoskeleton	mitochondrion	Arp2/3 protein complex	mitochondrion	mitochondrion inheritance	mitochondrion	mitochondrion	mitochondrion	mitochondrion	actin filament organization	Arp2/3 protein complex	actin filament organization	Arp2/3 protein complex	actin binding	actin binding	actin binding	ATP binding	Arp2/3 protein complex	mitochondrion inheritance	mitochondrion inheritance	ATP binding	mitochondrion	actin binding	actin filament organization	actin filament organization	actin binding	ATP binding	actin filament organization	actin filament organization	mitochondrion inheritance	ATP binding	structural constituent of cytoskeleton	ATP binding	actin binding	structural constituent of cytoskeleton	actin binding	actin filament organization	mitochondrion inheritance	Arp2/3 protein complex	ATP binding	actin filament organization	structural constituent of cytoskeleton	ATP binding	mitochondrion inheritance	structural constituent of cytoskeleton	Arp2/3 protein complex	structural constituent of cytoskeleton	Arp2/3 protein complex	actin binding	mitochondrion inheritance	mitochondrion	structural constituent of cytoskeleton	structural constituent of cytoskeleton	mitochondrion inheritance"	
NCU09747	supercont10.4	1935728	1937230	+	976.181818181818	vacuolar membrane ATPase-16	"GO:0000220	GO:0016021	GO:0046961	GO:0046961	GO:0016021	GO:0046961	GO:0046961	GO:0007035	GO:0007035	GO:0016021	GO:0007035	GO:0000220	GO:0007035	GO:0000220	GO:0007035	GO:0000220	GO:0016021	GO:0016021	GO:0046961	GO:0000220"	"vacuolar proton-transporting V-type ATPase	 V0 domain	integral to membrane	proton-transporting ATPase activity	 rotational mechanism	proton-transporting ATPase activity	 rotational mechanism	integral to membrane	proton-transporting ATPase activity	 rotational mechanism	proton-transporting ATPase activity	 rotational mechanism	vacuolar acidification	vacuolar acidification	integral to membrane	vacuolar acidification	vacuolar proton-transporting V-type ATPase	 V0 domain	vacuolar acidification	vacuolar proton-transporting V-type ATPase	 V0 domain	vacuolar acidification	vacuolar proton-transporting V-type ATPase	 V0 domain	integral to membrane	integral to membrane	proton-transporting ATPase activity	 rotational mechanism	vacuolar proton-transporting V-type ATPase	 V0 domain"	
NCU11520	supercont10.1	6048250	6050418	+	976.137931034483	hypothetical protein			
NCU05016	supercont10.6	4060315	4062691	+	976	hypothetical protein			
NCU02711	supercont10.1	3279861	3280910	-	975.944444444444	hypothetical protein			
NCU11664	supercont10.5	4431370	4434035	+	975.941176470588	leukotriene A-4 hydrolase			
NCU03231	supercont10.1	4988043	4989550	+	975.363636363636	mitochondrial chaperone BCS1			
NCU09917	supercont10.4	5293578	5296349	-	975.085714285714	hypothetical protein	"GO:0009416	GO:0009416"	"response to light stimulus	response to light stimulus"	
NCU12062	supercont10.7	2944076	2945348	+	974.7	hypothetical protein			
NCU05875	supercont10.7	122963	124182	+	974.210526315789	hypothetical protein			
NCU03336	supercont10.2	1053305	1056997	-	974.116279069767	hypothetical protein			
NCU04760	supercont10.6	703227	705252	+	974.074074074074	golgi apparatus membrane protein tvp-18			
NCU11474	supercont10.1	2583114	2584420	-	974	hypothetical protein			
NCU03935	supercont10.6	2459763	2461020	+	973.85	homoserine dehydrogenase	"GO:0004412	GO:0005737	GO:0006555	GO:0009090	GO:0006555	GO:0006566	GO:0005634	GO:0005634	GO:0009090	GO:0004412	GO:0009090	GO:0005737	GO:0006566	GO:0006566	GO:0005737	GO:0004412	GO:0009090	GO:0005634	GO:0005737	GO:0006566	GO:0005737	GO:0004412	GO:0006555	GO:0005634	GO:0006566	GO:0004412	GO:0009090	GO:0006555	GO:0006555	GO:0005737	GO:0005634	GO:0006566	GO:0004412	GO:0009090	GO:0006555	GO:0005737	GO:0004412	GO:0005634	GO:0006566	GO:0005634	GO:0009090	GO:0006555"	"homoserine dehydrogenase activity	cytoplasm	methionine metabolic process	homoserine biosynthetic process	methionine metabolic process	threonine metabolic process	nucleus	nucleus	homoserine biosynthetic process	homoserine dehydrogenase activity	homoserine biosynthetic process	cytoplasm	threonine metabolic process	threonine metabolic process	cytoplasm	homoserine dehydrogenase activity	homoserine biosynthetic process	nucleus	cytoplasm	threonine metabolic process	cytoplasm	homoserine dehydrogenase activity	methionine metabolic process	nucleus	threonine metabolic process	homoserine dehydrogenase activity	homoserine biosynthetic process	methionine metabolic process	methionine metabolic process	cytoplasm	nucleus	threonine metabolic process	homoserine dehydrogenase activity	homoserine biosynthetic process	methionine metabolic process	cytoplasm	homoserine dehydrogenase activity	nucleus	threonine metabolic process	nucleus	homoserine biosynthetic process	methionine metabolic process"	
NCU04496	supercont10.4	3174752	3175872	-	973.833333333333	hypothetical protein			
NCU12067	supercont10.7	3072519	3073345	-	973.666666666667	hypothetical protein			
NCU09764	supercont10.2	4302573	4303853	-	973.65	hypothetical protein			
NCU00813	supercont10.1	7076199	7078303	+	973.51724137931	disulfide isomerase			
NCU05664	supercont10.3	405056	408196	-	973.473684210526	hypothetical protein			
NCU07007	supercont10.4	4871092	4873927	-	973.305555555556	submerged protoperithecia-2			
NCU09467	supercont10.2	4373816	4376668	+	973.142857142857	hypothetical protein			
NCU11219	supercont10.6	4005254	4008171	-	973.138888888889	A/G-specific adenine glycosylase			
NCU08166	supercont10.7	650445	651998	-	973.045454545455	hypothetical protein			
NCU11201	supercont10.1	2024678	2026429	-	972.96	phosphoglycerate mutase			
NCU07471	supercont10.1	522028	523738	+	972.833333333333	F-actin-capping protein subunit beta	"GO:0008290	GO:0008290	GO:0051286	GO:0051286	GO:0008290	GO:0030479	GO:0030835	GO:0030835	GO:0008104	GO:0030479	GO:0051016	GO:0005884	GO:0030835	GO:0051015	GO:0008104	GO:0051286	GO:0030835	GO:0008104	GO:0005884	GO:0051015	GO:0008104	GO:0008104	GO:0051015	GO:0051286	GO:0030835	GO:0030835	GO:0051286	GO:0030479	GO:0008290	GO:0008290	GO:0005884	GO:0051016	GO:0051015	GO:0005884	GO:0008104	GO:0030835	GO:0008290	GO:0005884	GO:0051016	GO:0005884	GO:0030479	GO:0051016	GO:0051286	GO:0051015	GO:0008290	GO:0008104	GO:0051015	GO:0030479	GO:0005884	GO:0051016	GO:0051016	GO:0030479	GO:0030479	GO:0008104	GO:0051016	GO:0051286	GO:0005884	GO:0051015	GO:0030479	GO:0008290	GO:0030835	GO:0051016	GO:0030479	GO:0051286	GO:0051016	GO:0051286	GO:0008104	GO:0051015	GO:0008290	GO:0051015	GO:0030835	GO:0005884"	"F-actin capping protein complex	F-actin capping protein complex	cell tip	cell tip	F-actin capping protein complex	actin cortical patch	negative regulation of actin filament depolymerization	negative regulation of actin filament depolymerization	protein localization	actin cortical patch	barbed-end actin filament capping	actin filament	negative regulation of actin filament depolymerization	actin filament binding	protein localization	cell tip	negative regulation of actin filament depolymerization	protein localization	actin filament	actin filament binding	protein localization	protein localization	actin filament binding	cell tip	negative regulation of actin filament depolymerization	negative regulation of actin filament depolymerization	cell tip	actin cortical patch	F-actin capping protein complex	F-actin capping protein complex	actin filament	barbed-end actin filament capping	actin filament binding	actin filament	protein localization	negative regulation of actin filament depolymerization	F-actin capping protein complex	actin filament	barbed-end actin filament capping	actin filament	actin cortical patch	barbed-end actin filament capping	cell tip	actin filament binding	F-actin capping protein complex	protein localization	actin filament binding	actin cortical patch	actin filament	barbed-end actin filament capping	barbed-end actin filament capping	actin cortical patch	actin cortical patch	protein localization	barbed-end actin filament capping	cell tip	actin filament	actin filament binding	actin cortical patch	F-actin capping protein complex	negative regulation of actin filament depolymerization	barbed-end actin filament capping	actin cortical patch	cell tip	barbed-end actin filament capping	cell tip	protein localization	actin filament binding	F-actin capping protein complex	actin filament binding	negative regulation of actin filament depolymerization	actin filament"	
NCU11783	supercont10.4	4119778	4120792	+	972.705882352941	hypothetical protein			
NCU06616	supercont10.4	1814706	1816216	+	972.272727272727	S-adenosylmethionine-dependent methyltransferase			
NCU01045	supercont10.5	2755422	2756461	+	972	ribonuclease T1			
NCU07750	supercont10.5	429255	430214	+	971.764705882353	hypothetical protein			
NCU06197	supercont10.3	1862257	1863149	+	971.25	hypothetical protein			
NCU04490	supercont10.4	3194091	3195492	-	970.857142857143	hypothetical protein	"GO:0043331	GO:0043331"	"response to dsRNA	response to dsRNA"	
NCU03548	supercont10.2	278469	280626	+	970.758620689655	hypothetical protein			
